date,Rasen düngen,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,13,False
2018-02-25,0,False
2018-03-04,13,False
2018-03-11,40,False
2018-03-18,41,False
2018-03-25,58,False
2018-04-01,75,False
2018-04-08,44,False
2018-04-15,29,False
2018-04-22,29,False
2018-04-29,30,False
2018-05-06,45,False
2018-05-13,28,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,14,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,0,False
2018-07-01,14,False
2018-07-08,14,False
2018-07-15,44,False
2018-07-22,15,False
2018-07-29,75,False
2018-08-05,14,False
2018-08-12,15,False
2018-08-19,43,False
2018-08-26,14,False
2018-09-02,29,False
2018-09-09,0,False
2018-09-16,14,False
2018-09-23,0,False
2018-09-30,42,False
2018-10-07,14,False
2018-10-14,14,False
2018-10-21,14,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,13,False
2019-02-10,0,False
2019-02-17,13,False
2019-02-24,26,False
2019-03-03,39,False
2019-03-10,25,False
2019-03-17,66,False
2019-03-24,13,False
2019-03-31,55,False
2019-04-07,0,False
2019-04-14,15,False
2019-04-21,14,False
2019-04-28,41,False
2019-05-05,0,False
2019-05-12,13,False
2019-05-19,39,False
2019-05-26,26,False
2019-06-02,14,False
2019-06-09,14,False
2019-06-16,27,False
2019-06-23,14,False
2019-06-30,0,False
2019-07-07,40,False
2019-07-14,28,False
2019-07-21,0,False
2019-07-28,42,False
2019-08-04,29,False
2019-08-11,14,False
2019-08-18,67,False
2019-08-25,27,False
2019-09-01,13,False
2019-09-08,27,False
2019-09-15,13,False
2019-09-22,13,False
2019-09-29,12,False
2019-10-06,26,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,26,False
2019-11-03,12,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,12,False
2020-01-26,11,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,33,False
2020-03-08,43,False
2020-03-15,44,False
2020-03-22,21,False
2020-03-29,11,False
2020-04-05,24,False
2020-04-12,57,False
2020-04-19,100,False
2020-04-26,33,False
2020-05-03,34,False
2020-05-10,22,False
2020-05-17,49,False
2020-05-24,22,False
2020-05-31,57,False
2020-06-07,11,False
2020-06-14,22,False
2020-06-21,11,False
2020-06-28,68,False
2020-07-05,24,False
