date,stage yoga,isPartial
2018-01-07,42,False
2018-01-14,45,False
2018-01-21,0,False
2018-01-28,47,False
2018-02-04,46,False
2018-02-11,31,False
2018-02-18,31,False
2018-02-25,60,False
2018-03-04,30,False
2018-03-11,30,False
2018-03-18,31,False
2018-03-25,79,False
2018-04-01,49,False
2018-04-08,0,False
2018-04-15,36,False
2018-04-22,66,False
2018-04-29,32,False
2018-05-06,51,False
2018-05-13,64,False
2018-05-20,45,False
2018-05-27,43,False
2018-06-03,32,False
2018-06-10,47,False
2018-06-17,33,False
2018-06-24,33,False
2018-07-01,32,False
2018-07-08,100,False
2018-07-15,34,False
2018-07-22,57,False
2018-07-29,70,False
2018-08-05,35,False
2018-08-12,73,False
2018-08-19,0,False
2018-08-26,66,False
2018-09-02,33,False
2018-09-09,0,False
2018-09-16,34,False
2018-09-23,66,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,50,False
2018-10-21,34,False
2018-10-28,33,False
2018-11-04,0,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,48,False
2018-12-02,32,False
2018-12-09,0,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,66,False
2019-01-06,47,False
2019-01-13,0,False
2019-01-20,50,False
2019-01-27,30,False
2019-02-03,51,False
2019-02-10,31,False
2019-02-17,75,False
2019-02-24,52,False
2019-03-03,30,False
2019-03-10,61,False
2019-03-17,32,False
2019-03-24,46,False
2019-03-31,30,False
2019-04-07,44,False
2019-04-14,31,False
2019-04-21,93,False
2019-04-28,89,False
2019-05-05,58,False
2019-05-12,88,False
2019-05-19,30,False
2019-05-26,63,False
2019-06-02,30,False
2019-06-09,29,False
2019-06-16,45,False
2019-06-23,30,False
2019-06-30,0,False
2019-07-07,59,False
2019-07-14,30,False
2019-07-21,46,False
2019-07-28,31,False
2019-08-04,53,False
2019-08-11,34,False
2019-08-18,34,False
2019-08-25,63,False
2019-09-01,43,False
2019-09-08,0,False
2019-09-15,29,False
2019-09-22,71,False
2019-09-29,49,False
2019-10-06,59,False
2019-10-13,29,False
2019-10-20,57,False
2019-10-27,28,False
2019-11-03,55,False
2019-11-10,46,False
2019-11-17,28,False
2019-11-24,0,False
2019-12-01,53,False
2019-12-08,40,False
2019-12-15,81,False
2019-12-22,59,False
2019-12-29,29,False
2020-01-05,54,False
2020-01-12,53,False
2020-01-19,0,False
2020-01-26,38,False
2020-02-02,26,False
2020-02-09,51,False
2020-02-16,63,False
2020-02-23,50,False
2020-03-01,25,False
2020-03-08,49,False
2020-03-15,24,False
2020-03-22,0,False
2020-03-29,23,False
2020-04-05,23,False
2020-04-12,24,False
2020-04-19,24,False
2020-04-26,22,False
2020-05-03,23,False
2020-05-10,23,False
2020-05-17,26,False
2020-05-24,50,False
2020-05-31,24,False
2020-06-07,36,False
2020-06-14,75,False
2020-06-21,95,True
