date,stage yoga,isPartial
2018-01-07,26,False
2018-01-14,18,False
2018-01-21,35,False
2018-01-28,18,False
2018-02-04,17,False
2018-02-11,54,False
2018-02-18,18,False
2018-02-25,17,False
2018-03-04,26,False
2018-03-11,18,False
2018-03-18,18,False
2018-03-25,18,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,19,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,35,False
2018-05-13,18,False
2018-05-20,18,False
2018-05-27,18,False
2018-06-03,18,False
2018-06-10,0,False
2018-06-17,18,False
2018-06-24,0,False
2018-07-01,17,False
2018-07-08,0,False
2018-07-15,17,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,16,False
2018-08-12,0,False
2018-08-19,17,False
2018-08-26,17,False
2018-09-02,18,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,19,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,18,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,18,False
2018-12-09,28,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,20,False
2019-01-06,18,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,18,False
2019-02-03,18,False
2019-02-10,19,False
2019-02-17,18,False
2019-02-24,19,False
2019-03-03,19,False
2019-03-10,19,False
2019-03-17,19,False
2019-03-24,19,False
2019-03-31,18,False
2019-04-07,0,False
2019-04-14,17,False
2019-04-21,17,False
2019-04-28,37,False
2019-05-05,17,False
2019-05-12,0,False
2019-05-19,18,False
2019-05-26,18,False
2019-06-02,17,False
2019-06-09,0,False
2019-06-16,18,False
2019-06-23,17,False
2019-06-30,0,False
2019-07-07,16,False
2019-07-14,24,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,15,False
2019-08-11,15,False
2019-08-18,14,False
2019-08-25,14,False
2019-09-01,16,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,16,False
2019-09-29,25,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,16,False
2019-11-10,0,False
2019-11-17,16,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,16,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,15,False
2020-01-19,0,False
2020-01-26,16,False
2020-02-02,16,False
2020-02-09,16,False
2020-02-16,31,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,25,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,21,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,14,False
2020-06-21,100,True
