date,centro nutrición,isPartial
2018-01-07,61,False
2018-01-14,46,False
2018-01-21,30,False
2018-01-28,50,False
2018-02-04,89,False
2018-02-11,31,False
2018-02-18,31,False
2018-02-25,29,False
2018-03-04,0,False
2018-03-11,49,False
2018-03-18,91,False
2018-03-25,0,False
2018-04-01,31,False
2018-04-08,38,False
2018-04-15,30,False
2018-04-22,0,False
2018-04-29,30,False
2018-05-06,0,False
2018-05-13,30,False
2018-05-20,30,False
2018-05-27,30,False
2018-06-03,0,False
2018-06-10,29,False
2018-06-17,32,False
2018-06-24,62,False
2018-07-01,47,False
2018-07-08,0,False
2018-07-15,32,False
2018-07-22,32,False
2018-07-29,32,False
2018-08-05,31,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,63,False
2018-09-02,45,False
2018-09-09,29,False
2018-09-16,0,False
2018-09-23,29,False
2018-09-30,44,False
2018-10-07,46,False
2018-10-14,29,False
2018-10-21,40,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,29,False
2018-11-18,28,False
2018-11-25,0,False
2018-12-02,31,False
2018-12-09,60,False
2018-12-16,46,False
2018-12-23,0,False
2018-12-30,100,False
2019-01-06,45,False
2019-01-13,29,False
2019-01-20,28,False
2019-01-27,28,False
2019-02-03,30,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,29,False
2019-03-03,0,False
2019-03-10,59,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,28,False
2019-04-07,28,False
2019-04-14,30,False
2019-04-21,44,False
2019-04-28,0,False
2019-05-05,38,False
2019-05-12,29,False
2019-05-19,28,False
2019-05-26,0,False
2019-06-02,28,False
2019-06-09,28,False
2019-06-16,29,False
2019-06-23,0,False
2019-06-30,89,False
2019-07-07,58,False
2019-07-14,30,False
2019-07-21,30,False
2019-07-28,31,False
2019-08-04,31,False
2019-08-11,62,False
2019-08-18,91,False
2019-08-25,29,False
2019-09-01,27,False
2019-09-08,28,False
2019-09-15,27,False
2019-09-22,36,False
2019-09-29,27,False
2019-10-06,27,False
2019-10-13,53,False
2019-10-20,52,False
2019-10-27,40,False
2019-11-03,26,False
2019-11-10,52,False
2019-11-17,39,False
2019-11-24,25,False
2019-12-01,27,False
2019-12-08,28,False
2019-12-15,26,False
2019-12-22,0,False
2019-12-29,58,False
2020-01-05,40,False
2020-01-12,25,False
2020-01-19,40,False
2020-01-26,50,False
2020-02-02,38,False
2020-02-09,25,False
2020-02-16,38,False
2020-02-23,33,False
2020-03-01,24,False
2020-03-08,24,False
2020-03-15,0,False
2020-03-22,37,False
2020-03-29,22,False
2020-04-05,23,False
2020-04-12,33,False
2020-04-19,0,False
2020-04-26,44,False
2020-05-03,22,False
2020-05-10,22,False
2020-05-17,26,True
