date,Heizung Notdienst,isPartial
2018-01-07,32,False
2018-01-14,47,False
2018-01-21,32,False
2018-01-28,24,False
2018-02-04,25,False
2018-02-11,73,False
2018-02-18,64,False
2018-02-25,72,False
2018-03-04,61,False
2018-03-11,32,False
2018-03-18,36,False
2018-03-25,26,False
2018-04-01,43,False
2018-04-08,32,False
2018-04-15,0,False
2018-04-22,48,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,24,False
2018-05-20,0,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,46,False
2018-07-15,37,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,25,False
2018-08-19,0,False
2018-08-26,25,False
2018-09-02,24,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,37,False
2018-09-30,24,False
2018-10-07,25,False
2018-10-14,0,False
2018-10-21,49,False
2018-10-28,56,False
2018-11-04,23,False
2018-11-11,24,False
2018-11-18,38,False
2018-11-25,23,False
2018-12-02,46,False
2018-12-09,31,False
2018-12-16,48,False
2018-12-23,100,False
2018-12-30,25,False
2019-01-06,45,False
2019-01-13,66,False
2019-01-20,59,False
2019-01-27,44,False
2019-02-03,22,False
2019-02-10,23,False
2019-02-17,38,False
2019-02-24,35,False
2019-03-03,45,False
2019-03-10,44,False
2019-03-17,31,False
2019-03-24,35,False
2019-03-31,57,False
2019-04-07,35,False
2019-04-14,25,False
2019-04-21,33,False
2019-04-28,70,False
2019-05-05,37,False
2019-05-12,31,False
2019-05-19,34,False
2019-05-26,35,False
2019-06-02,23,False
2019-06-09,23,False
2019-06-16,0,False
2019-06-23,23,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,48,False
2019-07-21,26,False
2019-07-28,25,False
2019-08-04,25,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,23,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,45,False
2019-09-29,38,False
2019-10-06,55,False
2019-10-13,22,False
2019-10-20,23,False
2019-10-27,88,False
2019-11-03,49,False
2019-11-10,29,False
2019-11-17,52,False
2019-11-24,21,False
2019-12-01,57,False
2019-12-08,43,False
2019-12-15,21,False
2019-12-22,99,False
2019-12-29,47,False
2020-01-05,41,False
2020-01-12,20,False
2020-01-19,27,False
2020-01-26,20,False
2020-02-02,33,False
2020-02-09,39,False
2020-02-16,31,False
2020-02-23,52,False
2020-03-01,29,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,27,False
2020-04-12,19,False
2020-04-19,0,False
2020-04-26,18,False
2020-05-03,19,False
2020-05-10,19,False
