date,Heizung Notdienst,isPartial
2018-01-07,26,False
2018-01-14,26,False
2018-01-21,25,False
2018-01-28,43,False
2018-02-04,52,False
2018-02-11,54,False
2018-02-18,67,False
2018-02-25,53,False
2018-03-04,27,False
2018-03-11,40,False
2018-03-18,45,False
2018-03-25,57,False
2018-04-01,39,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,27,False
2018-04-29,28,False
2018-05-06,0,False
2018-05-13,27,False
2018-05-20,28,False
2018-05-27,28,False
2018-06-03,53,False
2018-06-10,26,False
2018-06-17,0,False
2018-06-24,26,False
2018-07-01,25,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,27,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,27,False
2018-09-23,0,False
2018-09-30,54,False
2018-10-07,26,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,44,False
2018-11-04,25,False
2018-11-11,25,False
2018-11-18,100,False
2018-11-25,38,False
2018-12-02,76,False
2018-12-09,38,False
2018-12-16,44,False
2018-12-23,72,False
2018-12-30,73,False
2019-01-06,24,False
2019-01-13,59,False
2019-01-20,24,False
2019-01-27,36,False
2019-02-03,48,False
2019-02-10,25,False
2019-02-17,37,False
2019-02-24,25,False
2019-03-03,25,False
2019-03-10,37,False
2019-03-17,52,False
2019-03-24,26,False
2019-03-31,0,False
2019-04-07,76,False
2019-04-14,0,False
2019-04-21,27,False
2019-04-28,67,False
2019-05-05,25,False
2019-05-12,0,False
2019-05-19,24,False
2019-05-26,0,False
2019-06-02,26,False
2019-06-09,0,False
2019-06-16,26,False
2019-06-23,0,False
2019-06-30,25,False
2019-07-07,0,False
2019-07-14,25,False
2019-07-21,26,False
2019-07-28,26,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,55,False
2019-08-25,27,False
2019-09-01,25,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,24,False
2019-09-29,50,False
2019-10-06,24,False
2019-10-13,24,False
2019-10-20,24,False
2019-10-27,31,False
2019-11-03,35,False
2019-11-10,23,False
2019-11-17,35,False
2019-11-24,35,False
2019-12-01,32,False
2019-12-08,48,False
2019-12-15,49,False
2019-12-22,74,False
2019-12-29,43,False
2020-01-05,23,False
2020-01-12,30,False
2020-01-19,38,False
2020-01-26,0,False
2020-02-02,22,False
2020-02-09,43,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,22,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,20,False
2020-03-29,20,False
2020-04-05,22,False
2020-04-12,21,False
2020-04-19,0,False
2020-04-26,20,False
2020-05-03,21,False
2020-05-10,21,False
