date,coach développement personnel,isPartial
2018-01-07,33,False
2018-01-14,37,False
2018-01-21,67,False
2018-01-28,45,False
2018-02-04,66,False
2018-02-11,45,False
2018-02-18,57,False
2018-02-25,45,False
2018-03-04,34,False
2018-03-11,79,False
2018-03-18,23,False
2018-03-25,34,False
2018-04-01,23,False
2018-04-08,45,False
2018-04-15,24,False
2018-04-22,23,False
2018-04-29,35,False
2018-05-06,24,False
2018-05-13,23,False
2018-05-20,23,False
2018-05-27,33,False
2018-06-03,45,False
2018-06-10,32,False
2018-06-17,23,False
2018-06-24,34,False
2018-07-01,33,False
2018-07-08,31,False
2018-07-15,24,False
2018-07-22,49,False
2018-07-29,50,False
2018-08-05,37,False
2018-08-12,25,False
2018-08-19,25,False
2018-08-26,24,False
2018-09-02,54,False
2018-09-09,23,False
2018-09-16,23,False
2018-09-23,23,False
2018-09-30,31,False
2018-10-07,69,False
2018-10-14,31,False
2018-10-21,39,False
2018-10-28,47,False
2018-11-04,56,False
2018-11-11,45,False
2018-11-18,59,False
2018-11-25,45,False
2018-12-02,23,False
2018-12-09,68,False
2018-12-16,23,False
2018-12-23,53,False
2018-12-30,0,False
2019-01-06,45,False
2019-01-13,30,False
2019-01-20,55,False
2019-01-27,36,False
2019-02-03,51,False
2019-02-10,69,False
2019-02-17,23,False
2019-02-24,34,False
2019-03-03,37,False
2019-03-10,60,False
2019-03-17,31,False
2019-03-24,46,False
2019-03-31,22,False
2019-04-07,0,False
2019-04-14,23,False
2019-04-21,34,False
2019-04-28,56,False
2019-05-05,44,False
2019-05-12,22,False
2019-05-19,33,False
2019-05-26,22,False
2019-06-02,41,False
2019-06-09,75,False
2019-06-16,45,False
2019-06-23,37,False
2019-06-30,52,False
2019-07-07,100,False
2019-07-14,23,False
2019-07-21,58,False
2019-07-28,32,False
2019-08-04,48,False
2019-08-11,36,False
2019-08-18,71,False
2019-08-25,33,False
2019-09-01,43,False
2019-09-08,36,False
2019-09-15,21,False
2019-09-22,34,False
2019-09-29,48,False
2019-10-06,42,False
2019-10-13,83,False
2019-10-20,42,False
2019-10-27,31,False
2019-11-03,20,False
2019-11-10,34,False
2019-11-17,20,False
2019-11-24,39,False
2019-12-01,33,False
2019-12-08,60,False
2019-12-15,30,False
2019-12-22,23,False
2019-12-29,54,False
2020-01-05,39,False
2020-01-12,45,False
2020-01-19,33,False
2020-01-26,52,False
2020-02-02,46,False
2020-02-09,77,False
2020-02-16,20,False
2020-02-23,32,False
2020-03-01,69,False
2020-03-08,56,False
2020-03-15,44,False
2020-03-22,17,False
2020-03-29,35,False
2020-04-05,46,False
2020-04-12,27,False
2020-04-19,40,False
2020-04-26,25,False
2020-05-03,55,False
2020-05-10,35,False
2020-05-17,57,True
