date,acconciature donna,isPartial
2018-01-07,34,False
2018-01-14,33,False
2018-01-21,33,False
2018-01-28,33,False
2018-02-04,74,False
2018-02-11,67,False
2018-02-18,65,False
2018-02-25,24,False
2018-03-04,32,False
2018-03-11,41,False
2018-03-18,41,False
2018-03-25,26,False
2018-04-01,27,False
2018-04-08,33,False
2018-04-15,68,False
2018-04-22,44,False
2018-04-29,93,False
2018-05-06,83,False
2018-05-13,66,False
2018-05-20,50,False
2018-05-27,33,False
2018-06-03,67,False
2018-06-10,64,False
2018-06-17,100,False
2018-06-24,42,False
2018-07-01,33,False
2018-07-08,58,False
2018-07-15,25,False
2018-07-22,34,False
2018-07-29,69,False
2018-08-05,53,False
2018-08-12,47,False
2018-08-19,74,False
2018-08-26,60,False
2018-09-02,65,False
2018-09-09,57,False
2018-09-16,56,False
2018-09-23,49,False
2018-09-30,0,False
2018-10-07,25,False
2018-10-14,34,False
2018-10-21,25,False
2018-10-28,49,False
2018-11-04,48,False
2018-11-11,17,False
2018-11-18,49,False
2018-11-25,16,False
2018-12-02,17,False
2018-12-09,42,False
2018-12-16,44,False
2018-12-23,20,False
2018-12-30,46,False
2019-01-06,17,False
2019-01-13,24,False
2019-01-20,0,False
2019-01-27,31,False
2019-02-03,24,False
2019-02-10,48,False
2019-02-17,57,False
2019-02-24,24,False
2019-03-03,50,False
2019-03-10,57,False
2019-03-17,25,False
2019-03-24,42,False
2019-03-31,66,False
2019-04-07,24,False
2019-04-14,34,False
2019-04-21,18,False
2019-04-28,66,False
2019-05-05,24,False
2019-05-12,79,False
2019-05-19,86,False
2019-05-26,46,False
2019-06-02,73,False
2019-06-09,49,False
2019-06-16,83,False
2019-06-23,68,False
2019-06-30,17,False
2019-07-07,49,False
2019-07-14,50,False
2019-07-21,51,False
2019-07-28,43,False
2019-08-04,35,False
2019-08-11,37,False
2019-08-18,79,False
2019-08-25,88,False
2019-09-01,23,False
2019-09-08,39,False
2019-09-15,23,False
2019-09-22,15,False
2019-09-29,38,False
2019-10-06,31,False
2019-10-13,47,False
2019-10-20,30,False
2019-10-27,23,False
2019-11-03,59,False
2019-11-10,22,False
2019-11-17,44,False
2019-11-24,74,False
2019-12-01,94,False
2019-12-08,39,False
2019-12-15,31,False
2019-12-22,88,False
2019-12-29,26,False
2020-01-05,15,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,21,False
2020-02-02,42,False
2020-02-09,15,False
2020-02-16,58,False
2020-02-23,41,False
2020-03-01,27,False
2020-03-08,26,False
2020-03-15,13,False
2020-03-22,12,False
2020-03-29,19,False
2020-04-05,13,False
2020-04-12,40,False
2020-04-19,19,False
2020-04-26,22,True
