date,Brunnenbau,isPartial
2018-01-07,0,False
2018-01-14,23,False
2018-01-21,23,False
2018-01-28,22,False
2018-02-04,0,False
2018-02-11,23,False
2018-02-18,23,False
2018-02-25,67,False
2018-03-04,23,False
2018-03-11,22,False
2018-03-18,34,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,70,False
2018-04-15,48,False
2018-04-22,23,False
2018-04-29,47,False
2018-05-06,24,False
2018-05-13,29,False
2018-05-20,45,False
2018-05-27,44,False
2018-06-03,46,False
2018-06-10,22,False
2018-06-17,22,False
2018-06-24,34,False
2018-07-01,47,False
2018-07-08,39,False
2018-07-15,57,False
2018-07-22,72,False
2018-07-29,39,False
2018-08-05,44,False
2018-08-12,36,False
2018-08-19,29,False
2018-08-26,22,False
2018-09-02,22,False
2018-09-09,37,False
2018-09-16,23,False
2018-09-23,38,False
2018-09-30,23,False
2018-10-07,39,False
2018-10-14,34,False
2018-10-21,43,False
2018-10-28,43,False
2018-11-04,32,False
2018-11-11,22,False
2018-11-18,36,False
2018-11-25,22,False
2018-12-02,22,False
2018-12-09,0,False
2018-12-16,22,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,31,False
2019-01-13,21,False
2019-01-20,20,False
2019-01-27,21,False
2019-02-03,21,False
2019-02-10,21,False
2019-02-17,22,False
2019-02-24,44,False
2019-03-03,35,False
2019-03-10,21,False
2019-03-17,22,False
2019-03-24,36,False
2019-03-31,22,False
2019-04-07,43,False
2019-04-14,54,False
2019-04-21,100,False
2019-04-28,21,False
2019-05-05,41,False
2019-05-12,21,False
2019-05-19,21,False
2019-05-26,22,False
2019-06-02,50,False
2019-06-09,32,False
2019-06-16,42,False
2019-06-23,36,False
2019-06-30,92,False
2019-07-07,43,False
2019-07-14,34,False
2019-07-21,64,False
2019-07-28,45,False
2019-08-04,37,False
2019-08-11,44,False
2019-08-18,32,False
2019-08-25,32,False
2019-09-01,55,False
2019-09-08,43,False
2019-09-15,21,False
2019-09-22,21,False
2019-09-29,21,False
2019-10-06,21,False
2019-10-13,43,False
2019-10-20,21,False
2019-10-27,0,False
2019-11-03,19,False
2019-11-10,20,False
2019-11-17,0,False
2019-11-24,20,False
2019-12-01,20,False
2019-12-08,20,False
2019-12-15,30,False
2019-12-22,22,False
2019-12-29,42,False
2020-01-05,19,False
2020-01-12,18,False
2020-01-19,19,False
2020-01-26,19,False
2020-02-02,19,False
2020-02-09,0,False
2020-02-16,19,False
2020-02-23,55,False
2020-03-01,28,False
2020-03-08,17,False
2020-03-15,34,False
2020-03-22,17,False
2020-03-29,25,False
2020-04-05,31,False
2020-04-12,65,False
2020-04-19,75,False
2020-04-26,96,False
2020-05-03,51,False
2020-05-10,40,False
