date,Brunnenbau,isPartial
2018-01-07,32,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,32,False
2018-02-04,0,False
2018-02-11,32,False
2018-02-18,0,False
2018-02-25,64,False
2018-03-04,49,False
2018-03-11,0,False
2018-03-18,49,False
2018-03-25,34,False
2018-04-01,52,False
2018-04-08,33,False
2018-04-15,68,False
2018-04-22,100,False
2018-04-29,52,False
2018-05-06,34,False
2018-05-13,33,False
2018-05-20,48,False
2018-05-27,36,False
2018-06-03,34,False
2018-06-10,64,False
2018-06-17,49,False
2018-06-24,33,False
2018-07-01,32,False
2018-07-08,98,False
2018-07-15,0,False
2018-07-22,33,False
2018-07-29,69,False
2018-08-05,35,False
2018-08-12,96,False
2018-08-19,73,False
2018-08-26,36,False
2018-09-02,45,False
2018-09-09,34,False
2018-09-16,33,False
2018-09-23,33,False
2018-09-30,33,False
2018-10-07,49,False
2018-10-14,32,False
2018-10-21,32,False
2018-10-28,64,False
2018-11-04,0,False
2018-11-11,63,False
2018-11-18,0,False
2018-11-25,31,False
2018-12-02,62,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,30,False
2019-01-13,30,False
2019-01-20,0,False
2019-01-27,44,False
2019-02-03,59,False
2019-02-10,30,False
2019-02-17,46,False
2019-02-24,31,False
2019-03-03,31,False
2019-03-10,0,False
2019-03-17,31,False
2019-03-24,92,False
2019-03-31,46,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,32,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,51,False
2019-05-19,44,False
2019-05-26,0,False
2019-06-02,47,False
2019-06-09,32,False
2019-06-16,43,False
2019-06-23,46,False
2019-06-30,91,False
2019-07-07,29,False
2019-07-14,31,False
2019-07-21,97,False
2019-07-28,32,False
2019-08-04,34,False
2019-08-11,65,False
2019-08-18,34,False
2019-08-25,51,False
2019-09-01,32,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,45,False
2019-09-29,30,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,56,False
2019-11-10,29,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,57,False
2019-12-08,42,False
2019-12-15,29,False
2019-12-22,33,False
2019-12-29,32,False
2020-01-05,28,False
2020-01-12,27,False
2020-01-19,0,False
2020-01-26,40,False
2020-02-02,27,False
2020-02-09,0,False
2020-02-16,28,False
2020-02-23,27,False
2020-03-01,52,False
2020-03-08,25,False
2020-03-15,24,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,53,False
2020-04-12,59,False
2020-04-19,33,False
2020-04-26,55,False
2020-05-03,56,False
2020-05-10,72,False
