date,Wohnung streichen lassen,isPartial
2018-01-07,35,False
2018-01-14,35,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,36,False
2018-02-11,36,False
2018-02-18,36,False
2018-02-25,36,False
2018-03-04,37,False
2018-03-11,35,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,37,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,37,False
2018-05-06,38,False
2018-05-13,36,False
2018-05-20,38,False
2018-05-27,37,False
2018-06-03,37,False
2018-06-10,35,False
2018-06-17,35,False
2018-06-24,0,False
2018-07-01,72,False
2018-07-08,36,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,38,False
2018-08-05,37,False
2018-08-12,74,False
2018-08-19,37,False
2018-08-26,37,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,73,False
2018-09-23,37,False
2018-09-30,36,False
2018-10-07,0,False
2018-10-14,36,False
2018-10-21,0,False
2018-10-28,35,False
2018-11-04,34,False
2018-11-11,70,False
2018-11-18,34,False
2018-11-25,35,False
2018-12-02,35,False
2018-12-09,0,False
2018-12-16,36,False
2018-12-23,41,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,33,False
2019-01-20,0,False
2019-01-27,33,False
2019-02-03,33,False
2019-02-10,68,False
2019-02-17,34,False
2019-02-24,34,False
2019-03-03,34,False
2019-03-10,0,False
2019-03-17,35,False
2019-03-24,35,False
2019-03-31,35,False
2019-04-07,34,False
2019-04-14,38,False
2019-04-21,36,False
2019-04-28,34,False
2019-05-05,100,False
2019-05-12,34,False
2019-05-19,0,False
2019-05-26,69,False
2019-06-02,34,False
2019-06-09,0,False
2019-06-16,53,False
2019-06-23,35,False
2019-06-30,35,False
2019-07-07,51,False
2019-07-14,0,False
2019-07-21,37,False
2019-07-28,36,False
2019-08-04,37,False
2019-08-11,35,False
2019-08-18,35,False
2019-08-25,0,False
2019-09-01,34,False
2019-09-08,34,False
2019-09-15,34,False
2019-09-22,0,False
2019-09-29,34,False
2019-10-06,33,False
2019-10-13,0,False
2019-10-20,33,False
2019-10-27,64,False
2019-11-03,31,False
2019-11-10,64,False
2019-11-17,47,False
2019-11-24,0,False
2019-12-01,32,False
2019-12-08,64,False
2019-12-15,32,False
2019-12-22,37,False
2019-12-29,34,False
2020-01-05,31,False
2020-01-12,29,False
2020-01-19,31,False
2020-01-26,30,False
2020-02-02,60,False
2020-02-09,88,False
2020-02-16,76,False
2020-02-23,59,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,55,False
2020-03-22,27,False
2020-03-29,27,False
2020-04-05,30,False
2020-04-12,28,False
2020-04-19,28,False
2020-04-26,27,False
2020-05-03,27,False
2020-05-10,0,False
2020-05-17,0,True
