date,Rolltor,isPartial
2018-01-07,81,False
2018-01-14,0,False
2018-01-21,34,False
2018-01-28,20,False
2018-02-04,31,False
2018-02-11,21,False
2018-02-18,31,False
2018-02-25,20,False
2018-03-04,31,False
2018-03-11,33,False
2018-03-18,20,False
2018-03-25,22,False
2018-04-01,33,False
2018-04-08,63,False
2018-04-15,53,False
2018-04-22,20,False
2018-04-29,54,False
2018-05-06,21,False
2018-05-13,20,False
2018-05-20,21,False
2018-05-27,0,False
2018-06-03,31,False
2018-06-10,40,False
2018-06-17,20,False
2018-06-24,20,False
2018-07-01,21,False
2018-07-08,42,False
2018-07-15,33,False
2018-07-22,43,False
2018-07-29,31,False
2018-08-05,39,False
2018-08-12,26,False
2018-08-19,26,False
2018-08-26,100,False
2018-09-02,27,False
2018-09-09,40,False
2018-09-16,21,False
2018-09-23,41,False
2018-09-30,51,False
2018-10-07,21,False
2018-10-14,41,False
2018-10-21,29,False
2018-10-28,32,False
2018-11-04,19,False
2018-11-11,20,False
2018-11-18,38,False
2018-11-25,33,False
2018-12-02,0,False
2018-12-09,19,False
2018-12-16,20,False
2018-12-23,22,False
2018-12-30,0,False
2019-01-06,19,False
2019-01-13,46,False
2019-01-20,46,False
2019-01-27,25,False
2019-02-03,28,False
2019-02-10,38,False
2019-02-17,20,False
2019-02-24,79,False
2019-03-03,28,False
2019-03-10,50,False
2019-03-17,30,False
2019-03-24,29,False
2019-03-31,40,False
2019-04-07,26,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,28,False
2019-05-05,28,False
2019-05-12,25,False
2019-05-19,37,False
2019-05-26,26,False
2019-06-02,19,False
2019-06-09,26,False
2019-06-16,37,False
2019-06-23,20,False
2019-06-30,25,False
2019-07-07,26,False
2019-07-14,31,False
2019-07-21,43,False
2019-07-28,20,False
2019-08-04,0,False
2019-08-11,20,False
2019-08-18,39,False
2019-08-25,19,False
2019-09-01,18,False
2019-09-08,32,False
2019-09-15,19,False
2019-09-22,28,False
2019-09-29,18,False
2019-10-06,55,False
2019-10-13,32,False
2019-10-20,25,False
2019-10-27,36,False
2019-11-03,29,False
2019-11-10,42,False
2019-11-17,35,False
2019-11-24,0,False
2019-12-01,54,False
2019-12-08,24,False
2019-12-15,30,False
2019-12-22,40,False
2019-12-29,25,False
2020-01-05,17,False
2020-01-12,0,False
2020-01-19,25,False
2020-01-26,0,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,33,False
2020-03-01,16,False
2020-03-08,16,False
2020-03-15,30,False
2020-03-22,22,False
2020-03-29,15,False
2020-04-05,27,False
2020-04-12,16,False
2020-04-19,16,False
2020-04-26,30,False
2020-05-03,23,False
2020-05-10,31,False
