date,Fontanero,isPartial
2018-01-07,43,False
2018-01-14,33,False
2018-01-21,64,False
2018-01-28,63,False
2018-02-04,30,False
2018-02-11,32,False
2018-02-18,31,False
2018-02-25,62,False
2018-03-04,61,False
2018-03-11,31,False
2018-03-18,40,False
2018-03-25,31,False
2018-04-01,29,False
2018-04-08,40,False
2018-04-15,28,False
2018-04-22,27,False
2018-04-29,100,False
2018-05-06,42,False
2018-05-13,51,False
2018-05-20,62,False
2018-05-27,36,False
2018-06-03,46,False
2018-06-10,33,False
2018-06-17,48,False
2018-06-24,46,False
2018-07-01,52,False
2018-07-08,44,False
2018-07-15,44,False
2018-07-22,29,False
2018-07-29,53,False
2018-08-05,34,False
2018-08-12,20,False
2018-08-19,55,False
2018-08-26,34,False
2018-09-02,44,False
2018-09-09,22,False
2018-09-16,30,False
2018-09-23,39,False
2018-09-30,36,False
2018-10-07,41,False
2018-10-14,41,False
2018-10-21,26,False
2018-10-28,48,False
2018-11-04,74,False
2018-11-11,30,False
2018-11-18,30,False
2018-11-25,31,False
2018-12-02,68,False
2018-12-09,49,False
2018-12-16,34,False
2018-12-23,40,False
2018-12-30,38,False
2019-01-06,48,False
2019-01-13,43,False
2019-01-20,30,False
2019-01-27,0,False
2019-02-03,31,False
2019-02-10,62,False
2019-02-17,32,False
2019-02-24,32,False
2019-03-03,31,False
2019-03-10,46,False
2019-03-17,44,False
2019-03-24,45,False
2019-03-31,28,False
2019-04-07,41,False
2019-04-14,39,False
2019-04-21,52,False
2019-04-28,51,False
2019-05-05,38,False
2019-05-12,41,False
2019-05-19,39,False
2019-05-26,68,False
2019-06-02,37,False
2019-06-09,36,False
2019-06-16,22,False
2019-06-23,23,False
2019-06-30,0,False
2019-07-07,21,False
2019-07-14,32,False
2019-07-21,64,False
2019-07-28,73,False
2019-08-04,21,False
2019-08-11,50,False
2019-08-18,27,False
2019-08-25,40,False
2019-09-01,30,False
2019-09-08,19,False
2019-09-15,41,False
2019-09-22,42,False
2019-09-29,22,False
2019-10-06,0,False
2019-10-13,22,False
2019-10-20,33,False
2019-10-27,25,False
2019-11-03,51,False
2019-11-10,26,False
2019-11-17,26,False
2019-11-24,53,False
2019-12-01,28,False
2019-12-08,57,False
2019-12-15,46,False
2019-12-22,64,False
2019-12-29,62,False
2020-01-05,55,False
2020-01-12,35,False
2020-01-19,76,False
2020-01-26,44,False
2020-02-02,39,False
2020-02-09,68,False
2020-02-16,50,False
2020-02-23,33,False
2020-03-01,48,False
2020-03-08,0,False
2020-03-15,35,False
2020-03-22,41,False
2020-03-29,31,False
2020-04-05,22,False
2020-04-12,0,False
2020-04-19,48,False
2020-04-26,56,False
2020-05-03,52,False
2020-05-10,22,False
2020-05-17,78,True
