date,video creator,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,70,False
2018-01-28,20,False
2018-02-04,59,False
2018-02-11,30,False
2018-02-18,0,False
2018-02-25,19,False
2018-03-04,39,False
2018-03-11,0,False
2018-03-18,39,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,60,False
2018-04-15,0,False
2018-04-22,32,False
2018-04-29,20,False
2018-05-06,50,False
2018-05-13,60,False
2018-05-20,20,False
2018-05-27,41,False
2018-06-03,30,False
2018-06-10,39,False
2018-06-17,20,False
2018-06-24,40,False
2018-07-01,0,False
2018-07-08,20,False
2018-07-15,61,False
2018-07-22,41,False
2018-07-29,0,False
2018-08-05,43,False
2018-08-12,34,False
2018-08-19,22,False
2018-08-26,21,False
2018-09-02,29,False
2018-09-09,19,False
2018-09-16,0,False
2018-09-23,30,False
2018-09-30,0,False
2018-10-07,20,False
2018-10-14,0,False
2018-10-21,40,False
2018-10-28,39,False
2018-11-04,38,False
2018-11-11,100,False
2018-11-18,29,False
2018-11-25,0,False
2018-12-02,60,False
2018-12-09,20,False
2018-12-16,42,False
2018-12-23,36,False
2018-12-30,0,False
2019-01-06,20,False
2019-01-13,0,False
2019-01-20,19,False
2019-01-27,18,False
2019-02-03,57,False
2019-02-10,48,False
2019-02-17,39,False
2019-02-24,19,False
2019-03-03,20,False
2019-03-10,20,False
2019-03-17,20,False
2019-03-24,40,False
2019-03-31,30,False
2019-04-07,19,False
2019-04-14,20,False
2019-04-21,42,False
2019-04-28,0,False
2019-05-05,29,False
2019-05-12,0,False
2019-05-19,38,False
2019-05-26,18,False
2019-06-02,40,False
2019-06-09,39,False
2019-06-16,0,False
2019-06-23,41,False
2019-06-30,20,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,20,False
2019-07-28,20,False
2019-08-04,32,False
2019-08-11,23,False
2019-08-18,21,False
2019-08-25,38,False
2019-09-01,45,False
2019-09-08,19,False
2019-09-15,27,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,38,False
2019-10-13,28,False
2019-10-20,45,False
2019-10-27,0,False
2019-11-03,44,False
2019-11-10,36,False
2019-11-17,36,False
2019-11-24,18,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,28,False
2019-12-22,43,False
2019-12-29,0,False
2020-01-05,36,False
2020-01-12,51,False
2020-01-19,43,False
2020-01-26,26,False
2020-02-02,17,False
2020-02-09,35,False
2020-02-16,17,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,55,False
2020-03-15,24,False
2020-03-22,65,False
2020-03-29,53,False
2020-04-05,79,False
2020-04-12,63,False
2020-04-19,45,False
2020-04-26,26,True
