date,Maquillage pour mariage,isPartial
2018-01-07,23,False
2018-01-14,11,False
2018-01-21,0,False
2018-01-28,12,False
2018-02-04,11,False
2018-02-11,23,False
2018-02-18,12,False
2018-02-25,35,False
2018-03-04,12,False
2018-03-11,0,False
2018-03-18,24,False
2018-03-25,24,False
2018-04-01,12,False
2018-04-08,12,False
2018-04-15,26,False
2018-04-22,49,False
2018-04-29,12,False
2018-05-06,100,False
2018-05-13,47,False
2018-05-20,49,False
2018-05-27,47,False
2018-06-03,46,False
2018-06-10,11,False
2018-06-17,36,False
2018-06-24,48,False
2018-07-01,35,False
2018-07-08,49,False
2018-07-15,38,False
2018-07-22,38,False
2018-07-29,26,False
2018-08-05,26,False
2018-08-12,27,False
2018-08-19,65,False
2018-08-26,73,False
2018-09-02,49,False
2018-09-09,12,False
2018-09-16,24,False
2018-09-23,12,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,48,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,12,False
2018-11-25,23,False
2018-12-02,0,False
2018-12-09,24,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,12,False
2019-01-13,35,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,11,False
2019-02-10,0,False
2019-02-17,61,False
2019-02-24,24,False
2019-03-03,46,False
2019-03-10,35,False
2019-03-17,24,False
2019-03-24,12,False
2019-03-31,35,False
2019-04-07,24,False
2019-04-14,25,False
2019-04-21,24,False
2019-04-28,47,False
2019-05-05,23,False
2019-05-12,58,False
2019-05-19,11,False
2019-05-26,35,False
2019-06-02,22,False
2019-06-09,23,False
2019-06-16,12,False
2019-06-23,12,False
2019-06-30,23,False
2019-07-07,35,False
2019-07-14,59,False
2019-07-21,37,False
2019-07-28,13,False
2019-08-04,25,False
2019-08-11,0,False
2019-08-18,61,False
2019-08-25,35,False
2019-09-01,22,False
2019-09-08,34,False
2019-09-15,11,False
2019-09-22,11,False
2019-09-29,11,False
2019-10-06,11,False
2019-10-13,11,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,10,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,10,False
2019-12-01,10,False
2019-12-08,0,False
2019-12-15,11,False
2019-12-22,12,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,10,False
2020-01-19,10,False
2020-01-26,20,False
2020-02-02,10,False
2020-02-09,20,False
2020-02-16,21,False
2020-02-23,40,False
2020-03-01,0,False
2020-03-08,29,False
2020-03-15,9,False
2020-03-22,18,False
2020-03-29,9,False
2020-04-05,9,False
2020-04-12,22,True
