date,ville per matrimonio,isPartial
2018-01-07,59,False
2018-01-14,44,False
2018-01-21,57,False
2018-01-28,43,False
2018-02-04,42,False
2018-02-11,29,False
2018-02-18,28,False
2018-02-25,41,False
2018-03-04,55,False
2018-03-11,28,False
2018-03-18,28,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,29,False
2018-04-15,0,False
2018-04-22,60,False
2018-04-29,0,False
2018-05-06,43,False
2018-05-13,100,False
2018-05-20,29,False
2018-05-27,29,False
2018-06-03,58,False
2018-06-10,97,False
2018-06-17,57,False
2018-06-24,58,False
2018-07-01,29,False
2018-07-08,29,False
2018-07-15,44,False
2018-07-22,44,False
2018-07-29,30,False
2018-08-05,90,False
2018-08-12,33,False
2018-08-19,48,False
2018-08-26,59,False
2018-09-02,98,False
2018-09-09,98,False
2018-09-16,83,False
2018-09-23,57,False
2018-09-30,57,False
2018-10-07,43,False
2018-10-14,88,False
2018-10-21,57,False
2018-10-28,28,False
2018-11-04,27,False
2018-11-11,57,False
2018-11-18,28,False
2018-11-25,29,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,0,False
2018-12-30,78,False
2019-01-06,58,False
2019-01-13,28,False
2019-01-20,54,False
2019-01-27,26,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,83,False
2019-02-24,41,False
2019-03-03,29,False
2019-03-10,57,False
2019-03-17,29,False
2019-03-24,57,False
2019-03-31,28,False
2019-04-07,42,False
2019-04-14,29,False
2019-04-21,61,False
2019-04-28,28,False
2019-05-05,68,False
2019-05-12,96,False
2019-05-19,81,False
2019-05-26,53,False
2019-06-02,28,False
2019-06-09,28,False
2019-06-16,28,False
2019-06-23,87,False
2019-06-30,29,False
2019-07-07,42,False
2019-07-14,29,False
2019-07-21,73,False
2019-07-28,30,False
2019-08-04,46,False
2019-08-11,64,False
2019-08-18,0,False
2019-08-25,55,False
2019-09-01,52,False
2019-09-08,27,False
2019-09-15,79,False
2019-09-22,79,False
2019-09-29,79,False
2019-10-06,67,False
2019-10-13,40,False
2019-10-20,26,False
2019-10-27,39,False
2019-11-03,0,False
2019-11-10,26,False
2019-11-17,26,False
2019-11-24,64,False
2019-12-01,26,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,62,False
2019-12-29,0,False
2020-01-05,26,False
2020-01-12,61,False
2020-01-19,75,False
2020-01-26,49,False
2020-02-02,0,False
2020-02-09,38,False
2020-02-16,0,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,22,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,38,True
