date,Schloss öffnen,isPartial
2018-01-07,25,False
2018-01-14,48,False
2018-01-21,37,False
2018-01-28,37,False
2018-02-04,34,False
2018-02-11,34,False
2018-02-18,0,False
2018-02-25,33,False
2018-03-04,0,False
2018-03-11,50,False
2018-03-18,75,False
2018-03-25,53,False
2018-04-01,53,False
2018-04-08,100,False
2018-04-15,38,False
2018-04-22,49,False
2018-04-29,0,False
2018-05-06,26,False
2018-05-13,25,False
2018-05-20,39,False
2018-05-27,25,False
2018-06-03,37,False
2018-06-10,24,False
2018-06-17,48,False
2018-06-24,33,False
2018-07-01,37,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,43,False
2018-07-29,40,False
2018-08-05,52,False
2018-08-12,53,False
2018-08-19,51,False
2018-08-26,25,False
2018-09-02,25,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,51,False
2018-10-07,26,False
2018-10-14,51,False
2018-10-21,25,False
2018-10-28,37,False
2018-11-04,36,False
2018-11-11,24,False
2018-11-18,47,False
2018-11-25,48,False
2018-12-02,71,False
2018-12-09,32,False
2018-12-16,0,False
2018-12-23,47,False
2018-12-30,0,False
2019-01-06,23,False
2019-01-13,67,False
2019-01-20,46,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,24,False
2019-02-17,39,False
2019-02-24,24,False
2019-03-03,47,False
2019-03-10,23,False
2019-03-17,72,False
2019-03-24,60,False
2019-03-31,47,False
2019-04-07,24,False
2019-04-14,34,False
2019-04-21,42,False
2019-04-28,24,False
2019-05-05,38,False
2019-05-12,24,False
2019-05-19,47,False
2019-05-26,32,False
2019-06-02,23,False
2019-06-09,48,False
2019-06-16,24,False
2019-06-23,36,False
2019-06-30,71,False
2019-07-07,46,False
2019-07-14,49,False
2019-07-21,53,False
2019-07-28,52,False
2019-08-04,26,False
2019-08-11,50,False
2019-08-18,25,False
2019-08-25,55,False
2019-09-01,23,False
2019-09-08,71,False
2019-09-15,24,False
2019-09-22,46,False
2019-09-29,82,False
2019-10-06,38,False
2019-10-13,46,False
2019-10-20,0,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,37,False
2019-11-17,22,False
2019-11-24,42,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,37,False
2019-12-22,25,False
2019-12-29,36,False
2020-01-05,42,False
2020-01-12,20,False
2020-01-19,64,False
2020-01-26,31,False
2020-02-02,31,False
2020-02-09,27,False
2020-02-16,42,False
2020-02-23,54,False
2020-03-01,20,False
2020-03-08,57,False
2020-03-15,19,False
2020-03-22,38,False
2020-03-29,19,False
2020-04-05,55,False
2020-04-12,29,False
2020-04-19,25,False
2020-04-26,46,False
2020-05-03,44,False
2020-05-10,58,False
