date,foto da matrimonio,isPartial
2018-01-07,14,False
2018-01-14,27,False
2018-01-21,13,False
2018-01-28,13,False
2018-02-04,20,False
2018-02-11,33,False
2018-02-18,13,False
2018-02-25,26,False
2018-03-04,13,False
2018-03-11,33,False
2018-03-18,13,False
2018-03-25,28,False
2018-04-01,29,False
2018-04-08,13,False
2018-04-15,20,False
2018-04-22,21,False
2018-04-29,54,False
2018-05-06,13,False
2018-05-13,100,False
2018-05-20,67,False
2018-05-27,54,False
2018-06-03,20,False
2018-06-10,26,False
2018-06-17,13,False
2018-06-24,14,False
2018-07-01,40,False
2018-07-08,20,False
2018-07-15,14,False
2018-07-22,27,False
2018-07-29,35,False
2018-08-05,36,False
2018-08-12,46,False
2018-08-19,30,False
2018-08-26,48,False
2018-09-02,85,False
2018-09-09,20,False
2018-09-16,13,False
2018-09-23,13,False
2018-09-30,26,False
2018-10-07,27,False
2018-10-14,14,False
2018-10-21,20,False
2018-10-28,20,False
2018-11-04,19,False
2018-11-11,0,False
2018-11-18,26,False
2018-11-25,27,False
2018-12-02,40,False
2018-12-09,13,False
2018-12-16,14,False
2018-12-23,0,False
2018-12-30,14,False
2019-01-06,0,False
2019-01-13,13,False
2019-01-20,19,False
2019-01-27,12,False
2019-02-03,19,False
2019-02-10,13,False
2019-02-17,13,False
2019-02-24,13,False
2019-03-03,13,False
2019-03-10,26,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,26,False
2019-04-07,13,False
2019-04-14,14,False
2019-04-21,64,False
2019-04-28,0,False
2019-05-05,25,False
2019-05-12,25,False
2019-05-19,13,False
2019-05-26,37,False
2019-06-02,26,False
2019-06-09,27,False
2019-06-16,40,False
2019-06-23,27,False
2019-06-30,27,False
2019-07-07,19,False
2019-07-14,27,False
2019-07-21,27,False
2019-07-28,21,False
2019-08-04,42,False
2019-08-11,30,False
2019-08-18,14,False
2019-08-25,38,False
2019-09-01,36,False
2019-09-08,13,False
2019-09-15,37,False
2019-09-22,31,False
2019-09-29,25,False
2019-10-06,38,False
2019-10-13,0,False
2019-10-20,36,False
2019-10-27,12,False
2019-11-03,0,False
2019-11-10,18,False
2019-11-17,24,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,25,False
2019-12-15,0,False
2019-12-22,29,False
2019-12-29,14,False
2020-01-05,0,False
2020-01-12,17,False
2020-01-19,12,False
2020-01-26,17,False
2020-02-02,11,False
2020-02-09,12,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,10,False
2020-03-22,20,False
2020-03-29,30,False
2020-04-05,21,False
2020-04-12,11,False
2020-04-19,20,False
2020-04-26,35,True
