date,psychologue travail,isPartial
2018-01-07,58,False
2018-01-14,50,False
2018-01-21,44,False
2018-01-28,67,False
2018-02-04,39,False
2018-02-11,34,False
2018-02-18,54,False
2018-02-25,30,False
2018-03-04,56,False
2018-03-11,28,False
2018-03-18,63,False
2018-03-25,29,False
2018-04-01,36,False
2018-04-08,34,False
2018-04-15,28,False
2018-04-22,48,False
2018-04-29,44,False
2018-05-06,31,False
2018-05-13,23,False
2018-05-20,29,False
2018-05-27,55,False
2018-06-03,50,False
2018-06-10,48,False
2018-06-17,41,False
2018-06-24,50,False
2018-07-01,55,False
2018-07-08,35,False
2018-07-15,19,False
2018-07-22,58,False
2018-07-29,30,False
2018-08-05,21,False
2018-08-12,22,False
2018-08-19,61,False
2018-08-26,30,False
2018-09-02,42,False
2018-09-09,56,False
2018-09-16,25,False
2018-09-23,50,False
2018-09-30,17,False
2018-10-07,33,False
2018-10-14,43,False
2018-10-21,16,False
2018-10-28,41,False
2018-11-04,28,False
2018-11-11,53,False
2018-11-18,49,False
2018-11-25,100,False
2018-12-02,22,False
2018-12-09,51,False
2018-12-16,35,False
2018-12-23,32,False
2018-12-30,29,False
2019-01-06,23,False
2019-01-13,33,False
2019-01-20,44,False
2019-01-27,33,False
2019-02-03,31,False
2019-02-10,61,False
2019-02-17,17,False
2019-02-24,29,False
2019-03-03,17,False
2019-03-10,45,False
2019-03-17,46,False
2019-03-24,44,False
2019-03-31,34,False
2019-04-07,23,False
2019-04-14,18,False
2019-04-21,48,False
2019-04-28,57,False
2019-05-05,24,False
2019-05-12,41,False
2019-05-19,29,False
2019-05-26,18,False
2019-06-02,32,False
2019-06-09,47,False
2019-06-16,64,False
2019-06-23,35,False
2019-06-30,30,False
2019-07-07,55,False
2019-07-14,39,False
2019-07-21,34,False
2019-07-28,43,False
2019-08-04,45,False
2019-08-11,24,False
2019-08-18,22,False
2019-08-25,19,False
2019-09-01,76,False
2019-09-08,52,False
2019-09-15,40,False
2019-09-22,50,False
2019-09-29,38,False
2019-10-06,45,False
2019-10-13,40,False
2019-10-20,41,False
2019-10-27,53,False
2019-11-03,27,False
2019-11-10,51,False
2019-11-17,28,False
2019-11-24,33,False
2019-12-01,40,False
2019-12-08,32,False
2019-12-15,34,False
2019-12-22,40,False
2019-12-29,32,False
2020-01-05,27,False
2020-01-12,38,False
2020-01-19,39,False
2020-01-26,54,False
2020-02-02,33,False
2020-02-09,16,False
2020-02-16,45,False
2020-02-23,32,False
2020-03-01,36,False
2020-03-08,41,False
2020-03-15,25,False
2020-03-22,34,False
2020-03-29,44,False
2020-04-05,41,False
2020-04-12,17,False
2020-04-19,41,False
2020-04-26,48,False
2020-05-03,56,False
2020-05-10,32,False
2020-05-17,38,True
