date,Stahl und Metallbau,isPartial
2018-01-07,28,False
2018-01-14,69,False
2018-01-21,83,False
2018-01-28,27,False
2018-02-04,28,False
2018-02-11,29,False
2018-02-18,57,False
2018-02-25,42,False
2018-03-04,42,False
2018-03-11,56,False
2018-03-18,42,False
2018-03-25,60,False
2018-04-01,45,False
2018-04-08,29,False
2018-04-15,29,False
2018-04-22,56,False
2018-04-29,29,False
2018-05-06,89,False
2018-05-13,42,False
2018-05-20,90,False
2018-05-27,0,False
2018-06-03,29,False
2018-06-10,27,False
2018-06-17,0,False
2018-06-24,58,False
2018-07-01,28,False
2018-07-08,71,False
2018-07-15,0,False
2018-07-22,29,False
2018-07-29,58,False
2018-08-05,58,False
2018-08-12,30,False
2018-08-19,29,False
2018-08-26,88,False
2018-09-02,86,False
2018-09-09,28,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,28,False
2018-10-21,84,False
2018-10-28,28,False
2018-11-04,27,False
2018-11-11,0,False
2018-11-18,27,False
2018-11-25,0,False
2018-12-02,68,False
2018-12-09,55,False
2018-12-16,0,False
2018-12-23,32,False
2018-12-30,0,False
2019-01-06,26,False
2019-01-13,39,False
2019-01-20,0,False
2019-01-27,26,False
2019-02-03,26,False
2019-02-10,0,False
2019-02-17,67,False
2019-02-24,81,False
2019-03-03,26,False
2019-03-10,52,False
2019-03-17,27,False
2019-03-24,54,False
2019-03-31,41,False
2019-04-07,40,False
2019-04-14,29,False
2019-04-21,0,False
2019-04-28,40,False
2019-05-05,0,False
2019-05-12,27,False
2019-05-19,0,False
2019-05-26,27,False
2019-06-02,0,False
2019-06-09,55,False
2019-06-16,41,False
2019-06-23,27,False
2019-06-30,81,False
2019-07-07,53,False
2019-07-14,56,False
2019-07-21,44,False
2019-07-28,57,False
2019-08-04,29,False
2019-08-11,41,False
2019-08-18,83,False
2019-08-25,54,False
2019-09-01,80,False
2019-09-08,67,False
2019-09-15,27,False
2019-09-22,26,False
2019-09-29,0,False
2019-10-06,52,False
2019-10-13,26,False
2019-10-20,38,False
2019-10-27,51,False
2019-11-03,25,False
2019-11-10,0,False
2019-11-17,100,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,25,False
2019-12-15,0,False
2019-12-22,29,False
2019-12-29,0,False
2020-01-05,48,False
2020-01-12,81,False
2020-01-19,36,False
2020-01-26,23,False
2020-02-02,36,False
2020-02-09,0,False
2020-02-16,36,False
2020-02-23,47,False
2020-03-01,23,False
2020-03-08,33,False
2020-03-15,21,False
2020-03-22,21,False
2020-03-29,21,False
2020-04-05,35,False
2020-04-12,34,False
2020-04-19,32,False
2020-04-26,42,False
2020-05-03,21,False
2020-05-10,21,False
