date,Pflastersteine,isPartial
2018-01-07,19,False
2018-01-14,28,False
2018-01-21,19,False
2018-01-28,59,False
2018-02-04,20,False
2018-02-11,0,False
2018-02-18,39,False
2018-02-25,39,False
2018-03-04,40,False
2018-03-11,69,False
2018-03-18,30,False
2018-03-25,43,False
2018-04-01,44,False
2018-04-08,42,False
2018-04-15,64,False
2018-04-22,62,False
2018-04-29,22,False
2018-05-06,68,False
2018-05-13,73,False
2018-05-20,64,False
2018-05-27,20,False
2018-06-03,21,False
2018-06-10,50,False
2018-06-17,20,False
2018-06-24,41,False
2018-07-01,31,False
2018-07-08,42,False
2018-07-15,65,False
2018-07-22,43,False
2018-07-29,83,False
2018-08-05,20,False
2018-08-12,100,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,20,False
2018-09-09,41,False
2018-09-16,40,False
2018-09-23,40,False
2018-09-30,21,False
2018-10-07,84,False
2018-10-14,39,False
2018-10-21,19,False
2018-10-28,19,False
2018-11-04,74,False
2018-11-11,0,False
2018-11-18,27,False
2018-11-25,0,False
2018-12-02,19,False
2018-12-09,19,False
2018-12-16,39,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,26,False
2019-01-13,0,False
2019-01-20,26,False
2019-01-27,34,False
2019-02-03,26,False
2019-02-10,18,False
2019-02-17,54,False
2019-02-24,18,False
2019-03-03,36,False
2019-03-10,26,False
2019-03-17,37,False
2019-03-24,55,False
2019-03-31,74,False
2019-04-07,46,False
2019-04-14,60,False
2019-04-21,48,False
2019-04-28,45,False
2019-05-05,44,False
2019-05-12,46,False
2019-05-19,62,False
2019-05-26,19,False
2019-06-02,56,False
2019-06-09,37,False
2019-06-16,27,False
2019-06-23,28,False
2019-06-30,18,False
2019-07-07,46,False
2019-07-14,29,False
2019-07-21,41,False
2019-07-28,49,False
2019-08-04,49,False
2019-08-11,28,False
2019-08-18,55,False
2019-08-25,63,False
2019-09-01,36,False
2019-09-08,36,False
2019-09-15,28,False
2019-09-22,43,False
2019-09-29,52,False
2019-10-06,27,False
2019-10-13,18,False
2019-10-20,25,False
2019-10-27,41,False
2019-11-03,0,False
2019-11-10,16,False
2019-11-17,33,False
2019-11-24,32,False
2019-12-01,17,False
2019-12-08,33,False
2019-12-15,0,False
2019-12-22,18,False
2019-12-29,17,False
2020-01-05,15,False
2020-01-12,38,False
2020-01-19,16,False
2020-01-26,31,False
2020-02-02,0,False
2020-02-09,32,False
2020-02-16,31,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,36,False
2020-03-15,62,False
2020-03-22,14,False
2020-03-29,53,False
2020-04-05,100,False
2020-04-12,86,False
2020-04-19,98,False
2020-04-26,34,False
2020-05-03,77,False
2020-05-10,56,False
