date,Pflastersteine,isPartial
2018-01-07,50,False
2018-01-14,66,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,33,False
2018-02-11,0,False
2018-02-18,34,False
2018-02-25,0,False
2018-03-04,33,False
2018-03-11,66,False
2018-03-18,34,False
2018-03-25,36,False
2018-04-01,52,False
2018-04-08,65,False
2018-04-15,33,False
2018-04-22,48,False
2018-04-29,34,False
2018-05-06,48,False
2018-05-13,33,False
2018-05-20,71,False
2018-05-27,65,False
2018-06-03,0,False
2018-06-10,33,False
2018-06-17,33,False
2018-06-24,51,False
2018-07-01,53,False
2018-07-08,36,False
2018-07-15,38,False
2018-07-22,0,False
2018-07-29,54,False
2018-08-05,100,False
2018-08-12,33,False
2018-08-19,67,False
2018-08-26,0,False
2018-09-02,34,False
2018-09-09,34,False
2018-09-16,0,False
2018-09-23,51,False
2018-09-30,54,False
2018-10-07,35,False
2018-10-14,33,False
2018-10-21,32,False
2018-10-28,33,False
2018-11-04,0,False
2018-11-11,49,False
2018-11-18,31,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,34,False
2018-12-23,0,False
2018-12-30,37,False
2019-01-06,64,False
2019-01-13,48,False
2019-01-20,0,False
2019-01-27,32,False
2019-02-03,0,False
2019-02-10,32,False
2019-02-17,32,False
2019-02-24,55,False
2019-03-03,48,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,32,False
2019-03-31,33,False
2019-04-07,35,False
2019-04-14,77,False
2019-04-21,35,False
2019-04-28,33,False
2019-05-05,87,False
2019-05-12,33,False
2019-05-19,33,False
2019-05-26,34,False
2019-06-02,33,False
2019-06-09,0,False
2019-06-16,33,False
2019-06-23,67,False
2019-06-30,32,False
2019-07-07,0,False
2019-07-14,36,False
2019-07-21,38,False
2019-07-28,86,False
2019-08-04,36,False
2019-08-11,64,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,30,False
2019-09-08,0,False
2019-09-15,32,False
2019-09-22,63,False
2019-09-29,98,False
2019-10-06,0,False
2019-10-13,31,False
2019-10-20,30,False
2019-10-27,31,False
2019-11-03,0,False
2019-11-10,30,False
2019-11-17,29,False
2019-11-24,29,False
2019-12-01,46,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,34,False
2020-01-05,39,False
2020-01-12,28,False
2020-01-19,0,False
2020-01-26,29,False
2020-02-02,30,False
2020-02-09,29,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,44,False
2020-03-08,28,False
2020-03-15,27,False
2020-03-22,27,False
2020-03-29,41,False
2020-04-05,40,False
2020-04-12,57,False
2020-04-19,75,False
2020-04-26,54,False
2020-05-03,69,False
2020-05-10,38,False
