date,torta nocciole,isPartial
2018-01-07,29,False
2018-01-14,23,False
2018-01-21,37,False
2018-01-28,38,False
2018-02-04,21,False
2018-02-11,57,False
2018-02-18,67,False
2018-02-25,76,False
2018-03-04,39,False
2018-03-11,28,False
2018-03-18,23,False
2018-03-25,41,False
2018-04-01,12,False
2018-04-08,22,False
2018-04-15,12,False
2018-04-22,30,False
2018-04-29,12,False
2018-05-06,11,False
2018-05-13,17,False
2018-05-20,29,False
2018-05-27,17,False
2018-06-03,35,False
2018-06-10,17,False
2018-06-17,18,False
2018-06-24,0,False
2018-07-01,13,False
2018-07-08,12,False
2018-07-15,26,False
2018-07-22,20,False
2018-07-29,14,False
2018-08-05,30,False
2018-08-12,17,False
2018-08-19,31,False
2018-08-26,27,False
2018-09-02,13,False
2018-09-09,62,False
2018-09-16,24,False
2018-09-23,43,False
2018-09-30,50,False
2018-10-07,31,False
2018-10-14,62,False
2018-10-21,73,False
2018-10-28,78,False
2018-11-04,63,False
2018-11-11,100,False
2018-11-18,78,False
2018-11-25,40,False
2018-12-02,58,False
2018-12-09,64,False
2018-12-16,43,False
2018-12-23,70,False
2018-12-30,19,False
2019-01-06,17,False
2019-01-13,62,False
2019-01-20,32,False
2019-01-27,42,False
2019-02-03,42,False
2019-02-10,37,False
2019-02-17,22,False
2019-02-24,56,False
2019-03-03,34,False
2019-03-10,17,False
2019-03-17,45,False
2019-03-24,45,False
2019-03-31,43,False
2019-04-07,48,False
2019-04-14,23,False
2019-04-21,61,False
2019-04-28,23,False
2019-05-05,33,False
2019-05-12,27,False
2019-05-19,11,False
2019-05-26,21,False
2019-06-02,22,False
2019-06-09,27,False
2019-06-16,17,False
2019-06-23,17,False
2019-06-30,23,False
2019-07-07,34,False
2019-07-14,17,False
2019-07-21,18,False
2019-07-28,0,False
2019-08-04,13,False
2019-08-11,14,False
2019-08-18,39,False
2019-08-25,23,False
2019-09-01,21,False
2019-09-08,60,False
2019-09-15,57,False
2019-09-22,59,False
2019-09-29,37,False
2019-10-06,43,False
2019-10-13,68,False
2019-10-20,55,False
2019-10-27,61,False
2019-11-03,56,False
2019-11-10,76,False
2019-11-17,35,False
2019-11-24,34,False
2019-12-01,62,False
2019-12-08,21,False
2019-12-15,31,False
2019-12-22,35,False
2019-12-29,68,False
2020-01-05,29,False
2020-01-12,23,False
2020-01-19,48,False
2020-01-26,42,False
2020-02-02,36,False
2020-02-09,33,False
2020-02-16,42,False
2020-02-23,48,False
2020-03-01,40,False
2020-03-08,63,False
2020-03-15,77,False
2020-03-22,56,False
2020-03-29,62,False
2020-04-05,92,False
2020-04-12,13,False
2020-04-19,63,False
2020-04-26,42,True
