date,torta nocciole,isPartial
2018-01-07,45,False
2018-01-14,46,False
2018-01-21,31,False
2018-01-28,30,False
2018-02-04,30,False
2018-02-11,0,False
2018-02-18,31,False
2018-02-25,95,False
2018-03-04,63,False
2018-03-11,65,False
2018-03-18,0,False
2018-03-25,35,False
2018-04-01,36,False
2018-04-08,65,False
2018-04-15,32,False
2018-04-22,0,False
2018-04-29,66,False
2018-05-06,33,False
2018-05-13,32,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,30,False
2018-06-17,32,False
2018-06-24,32,False
2018-07-01,33,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,30,False
2018-08-12,31,False
2018-08-19,29,False
2018-08-26,30,False
2018-09-02,31,False
2018-09-09,47,False
2018-09-16,30,False
2018-09-23,0,False
2018-09-30,31,False
2018-10-07,32,False
2018-10-14,48,False
2018-10-21,32,False
2018-10-28,31,False
2018-11-04,49,False
2018-11-11,100,False
2018-11-18,33,False
2018-11-25,33,False
2018-12-02,70,False
2018-12-09,68,False
2018-12-16,35,False
2018-12-23,37,False
2018-12-30,33,False
2019-01-06,32,False
2019-01-13,62,False
2019-01-20,59,False
2019-01-27,46,False
2019-02-03,30,False
2019-02-10,30,False
2019-02-17,92,False
2019-02-24,31,False
2019-03-03,64,False
2019-03-10,47,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,31,False
2019-04-07,31,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,0,False
2019-05-05,31,False
2019-05-12,30,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,32,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,29,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,30,False
2019-09-15,0,False
2019-09-22,60,False
2019-09-29,30,False
2019-10-06,0,False
2019-10-13,31,False
2019-10-20,58,False
2019-10-27,0,False
2019-11-03,58,False
2019-11-10,60,False
2019-11-17,61,False
2019-11-24,30,False
2019-12-01,0,False
2019-12-08,47,False
2019-12-15,32,False
2019-12-22,68,False
2019-12-29,65,False
2020-01-05,61,False
2020-01-12,29,False
2020-01-19,29,False
2020-01-26,59,False
2020-02-02,28,False
2020-02-09,44,False
2020-02-16,59,False
2020-02-23,28,False
2020-03-01,27,False
2020-03-08,26,False
2020-03-15,25,False
2020-03-22,69,False
2020-03-29,71,False
2020-04-05,38,False
2020-04-12,76,False
2020-04-19,70,False
2020-04-26,83,True
