date,truccatrice,isPartial
2018-01-07,23,False
2018-01-14,34,False
2018-01-21,22,False
2018-01-28,22,False
2018-02-04,22,False
2018-02-11,21,False
2018-02-18,20,False
2018-02-25,60,False
2018-03-04,20,False
2018-03-11,20,False
2018-03-18,21,False
2018-03-25,22,False
2018-04-01,23,False
2018-04-08,0,False
2018-04-15,21,False
2018-04-22,22,False
2018-04-29,21,False
2018-05-06,20,False
2018-05-13,0,False
2018-05-20,20,False
2018-05-27,21,False
2018-06-03,21,False
2018-06-10,30,False
2018-06-17,20,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,21,False
2018-07-15,21,False
2018-07-22,32,False
2018-07-29,22,False
2018-08-05,23,False
2018-08-12,0,False
2018-08-19,28,False
2018-08-26,24,False
2018-09-02,31,False
2018-09-09,20,False
2018-09-16,58,False
2018-09-23,20,False
2018-09-30,30,False
2018-10-07,21,False
2018-10-14,20,False
2018-10-21,41,False
2018-10-28,40,False
2018-11-04,0,False
2018-11-11,30,False
2018-11-18,40,False
2018-11-25,61,False
2018-12-02,37,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,0,False
2018-12-30,24,False
2019-01-06,34,False
2019-01-13,22,False
2019-01-20,21,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,22,False
2019-02-17,78,False
2019-02-24,20,False
2019-03-03,23,False
2019-03-10,23,False
2019-03-17,0,False
2019-03-24,23,False
2019-03-31,22,False
2019-04-07,42,False
2019-04-14,22,False
2019-04-21,25,False
2019-04-28,22,False
2019-05-05,100,False
2019-05-12,21,False
2019-05-19,0,False
2019-05-26,21,False
2019-06-02,22,False
2019-06-09,22,False
2019-06-16,23,False
2019-06-23,23,False
2019-06-30,24,False
2019-07-07,44,False
2019-07-14,24,False
2019-07-21,23,False
2019-07-28,76,False
2019-08-04,0,False
2019-08-11,29,False
2019-08-18,0,False
2019-08-25,49,False
2019-09-01,0,False
2019-09-08,44,False
2019-09-15,21,False
2019-09-22,42,False
2019-09-29,64,False
2019-10-06,22,False
2019-10-13,66,False
2019-10-20,21,False
2019-10-27,64,False
2019-11-03,41,False
2019-11-10,0,False
2019-11-17,21,False
2019-11-24,42,False
2019-12-01,22,False
2019-12-08,43,False
2019-12-15,22,False
2019-12-22,0,False
2019-12-29,76,False
2020-01-05,44,False
2020-01-12,20,False
2020-01-19,21,False
2020-01-26,0,False
2020-02-02,40,False
2020-02-09,20,False
2020-02-16,20,False
2020-02-23,0,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,19,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,19,False
2020-04-12,20,False
2020-04-19,18,False
2020-04-26,0,True
