date,truccatrice,isPartial
2018-01-07,44,False
2018-01-14,22,False
2018-01-21,0,False
2018-01-28,32,False
2018-02-04,22,False
2018-02-11,43,False
2018-02-18,31,False
2018-02-25,41,False
2018-03-04,0,False
2018-03-11,61,False
2018-03-18,21,False
2018-03-25,33,False
2018-04-01,0,False
2018-04-08,62,False
2018-04-15,42,False
2018-04-22,33,False
2018-04-29,64,False
2018-05-06,31,False
2018-05-13,41,False
2018-05-20,0,False
2018-05-27,31,False
2018-06-03,21,False
2018-06-10,21,False
2018-06-17,43,False
2018-06-24,44,False
2018-07-01,21,False
2018-07-08,0,False
2018-07-15,22,False
2018-07-22,0,False
2018-07-29,59,False
2018-08-05,0,False
2018-08-12,57,False
2018-08-19,56,False
2018-08-26,45,False
2018-09-02,20,False
2018-09-09,40,False
2018-09-16,20,False
2018-09-23,0,False
2018-09-30,100,False
2018-10-07,41,False
2018-10-14,20,False
2018-10-21,40,False
2018-10-28,41,False
2018-11-04,19,False
2018-11-11,20,False
2018-11-18,19,False
2018-11-25,0,False
2018-12-02,30,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,41,False
2019-01-13,29,False
2019-01-20,19,False
2019-01-27,39,False
2019-02-03,20,False
2019-02-10,49,False
2019-02-17,20,False
2019-02-24,20,False
2019-03-03,20,False
2019-03-10,40,False
2019-03-17,0,False
2019-03-24,52,False
2019-03-31,41,False
2019-04-07,20,False
2019-04-14,21,False
2019-04-21,23,False
2019-04-28,64,False
2019-05-05,41,False
2019-05-12,20,False
2019-05-19,60,False
2019-05-26,39,False
2019-06-02,21,False
2019-06-09,20,False
2019-06-16,41,False
2019-06-23,21,False
2019-06-30,42,False
2019-07-07,0,False
2019-07-14,21,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,25,False
2019-08-11,28,False
2019-08-18,0,False
2019-08-25,34,False
2019-09-01,19,False
2019-09-08,20,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,19,False
2019-10-06,77,False
2019-10-13,58,False
2019-10-20,18,False
2019-10-27,28,False
2019-11-03,54,False
2019-11-10,37,False
2019-11-17,18,False
2019-11-24,0,False
2019-12-01,38,False
2019-12-08,19,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,53,False
2020-01-19,18,False
2020-01-26,26,False
2020-02-02,70,False
2020-02-09,27,False
2020-02-16,35,False
2020-02-23,33,False
2020-03-01,17,False
2020-03-08,25,False
2020-03-15,17,False
2020-03-22,0,False
2020-03-29,16,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,16,False
2020-04-26,0,True
