date,Parkett verlegen,isPartial
2018-01-07,65,False
2018-01-14,32,False
2018-01-21,43,False
2018-01-28,32,False
2018-02-04,0,False
2018-02-11,32,False
2018-02-18,33,False
2018-02-25,48,False
2018-03-04,32,False
2018-03-11,53,False
2018-03-18,66,False
2018-03-25,67,False
2018-04-01,33,False
2018-04-08,33,False
2018-04-15,34,False
2018-04-22,32,False
2018-04-29,50,False
2018-05-06,34,False
2018-05-13,32,False
2018-05-20,34,False
2018-05-27,31,False
2018-06-03,32,False
2018-06-10,0,False
2018-06-17,32,False
2018-06-24,32,False
2018-07-01,34,False
2018-07-08,0,False
2018-07-15,36,False
2018-07-22,68,False
2018-07-29,32,False
2018-08-05,30,False
2018-08-12,41,False
2018-08-19,30,False
2018-08-26,32,False
2018-09-02,64,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,43,False
2018-09-30,100,False
2018-10-07,33,False
2018-10-14,48,False
2018-10-21,46,False
2018-10-28,47,False
2018-11-04,31,False
2018-11-11,0,False
2018-11-18,46,False
2018-11-25,47,False
2018-12-02,31,False
2018-12-09,32,False
2018-12-16,65,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,29,False
2019-01-13,59,False
2019-01-20,45,False
2019-01-27,30,False
2019-02-03,30,False
2019-02-10,92,False
2019-02-17,46,False
2019-02-24,31,False
2019-03-03,75,False
2019-03-10,30,False
2019-03-17,41,False
2019-03-24,31,False
2019-03-31,0,False
2019-04-07,49,False
2019-04-14,34,False
2019-04-21,48,False
2019-04-28,31,False
2019-05-05,40,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,62,False
2019-06-02,0,False
2019-06-09,31,False
2019-06-16,45,False
2019-06-23,31,False
2019-06-30,45,False
2019-07-07,31,False
2019-07-14,65,False
2019-07-21,0,False
2019-07-28,63,False
2019-08-04,0,False
2019-08-11,29,False
2019-08-18,30,False
2019-08-25,58,False
2019-09-01,58,False
2019-09-08,29,False
2019-09-15,44,False
2019-09-22,29,False
2019-09-29,30,False
2019-10-06,0,False
2019-10-13,44,False
2019-10-20,29,False
2019-10-27,28,False
2019-11-03,37,False
2019-11-10,28,False
2019-11-17,42,False
2019-11-24,68,False
2019-12-01,55,False
2019-12-08,28,False
2019-12-15,43,False
2019-12-22,0,False
2019-12-29,58,False
2020-01-05,80,False
2020-01-12,39,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,0,False
2020-02-09,39,False
2020-02-16,27,False
2020-02-23,53,False
2020-03-01,54,False
2020-03-08,49,False
2020-03-15,25,False
2020-03-22,37,False
2020-03-29,24,False
2020-04-05,27,False
2020-04-12,77,False
2020-04-19,50,False
2020-04-26,71,False
2020-05-03,25,False
2020-05-10,36,False
