date,foto battesimo,isPartial
2018-01-07,24,False
2018-01-14,35,False
2018-01-21,27,False
2018-01-28,38,False
2018-02-04,15,False
2018-02-11,27,False
2018-02-18,22,False
2018-02-25,29,False
2018-03-04,26,False
2018-03-11,27,False
2018-03-18,15,False
2018-03-25,28,False
2018-04-01,29,False
2018-04-08,39,False
2018-04-15,31,False
2018-04-22,32,False
2018-04-29,39,False
2018-05-06,54,False
2018-05-13,38,False
2018-05-20,69,False
2018-05-27,23,False
2018-06-03,43,False
2018-06-10,19,False
2018-06-17,35,False
2018-06-24,23,False
2018-07-01,15,False
2018-07-08,100,False
2018-07-15,55,False
2018-07-22,55,False
2018-07-29,20,False
2018-08-05,25,False
2018-08-12,39,False
2018-08-19,38,False
2018-08-26,44,False
2018-09-02,30,False
2018-09-09,53,False
2018-09-16,30,False
2018-09-23,34,False
2018-09-30,23,False
2018-10-07,27,False
2018-10-14,51,False
2018-10-21,38,False
2018-10-28,30,False
2018-11-04,11,False
2018-11-11,31,False
2018-11-18,8,False
2018-11-25,12,False
2018-12-02,27,False
2018-12-09,15,False
2018-12-16,8,False
2018-12-23,9,False
2018-12-30,17,False
2019-01-06,27,False
2019-01-13,30,False
2019-01-20,33,False
2019-01-27,25,False
2019-02-03,22,False
2019-02-10,44,False
2019-02-17,19,False
2019-02-24,18,False
2019-03-03,50,False
2019-03-10,38,False
2019-03-17,23,False
2019-03-24,50,False
2019-03-31,19,False
2019-04-07,41,False
2019-04-14,43,False
2019-04-21,24,False
2019-04-28,38,False
2019-05-05,26,False
2019-05-12,40,False
2019-05-19,54,False
2019-05-26,25,False
2019-06-02,30,False
2019-06-09,19,False
2019-06-16,38,False
2019-06-23,16,False
2019-06-30,47,False
2019-07-07,82,False
2019-07-14,43,False
2019-07-21,24,False
2019-07-28,31,False
2019-08-04,37,False
2019-08-11,17,False
2019-08-18,28,False
2019-08-25,11,False
2019-09-01,35,False
2019-09-08,29,False
2019-09-15,25,False
2019-09-22,28,False
2019-09-29,46,False
2019-10-06,11,False
2019-10-13,25,False
2019-10-20,21,False
2019-10-27,28,False
2019-11-03,20,False
2019-11-10,7,False
2019-11-17,14,False
2019-11-24,10,False
2019-12-01,18,False
2019-12-08,14,False
2019-12-15,11,False
2019-12-22,0,False
2019-12-29,8,False
2020-01-05,32,False
2020-01-12,23,False
2020-01-19,30,False
2020-01-26,26,False
2020-02-02,26,False
2020-02-09,20,False
2020-02-16,23,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,6,False
2020-03-29,9,False
2020-04-05,6,False
2020-04-12,9,False
2020-04-19,0,False
2020-04-26,10,True
