date,Spengler,isPartial
2018-01-07,11,False
2018-01-14,14,False
2018-01-21,20,False
2018-01-28,21,False
2018-02-04,7,False
2018-02-11,14,False
2018-02-18,15,False
2018-02-25,14,False
2018-03-04,10,False
2018-03-11,8,False
2018-03-18,13,False
2018-03-25,7,False
2018-04-01,12,False
2018-04-08,24,False
2018-04-15,12,False
2018-04-22,7,False
2018-04-29,25,False
2018-05-06,18,False
2018-05-13,15,False
2018-05-20,13,False
2018-05-27,8,False
2018-06-03,11,False
2018-06-10,16,False
2018-06-17,12,False
2018-06-24,11,False
2018-07-01,15,False
2018-07-08,19,False
2018-07-15,13,False
2018-07-22,17,False
2018-07-29,13,False
2018-08-05,15,False
2018-08-12,13,False
2018-08-19,6,False
2018-08-26,11,False
2018-09-02,21,False
2018-09-09,10,False
2018-09-16,17,False
2018-09-23,19,False
2018-09-30,10,False
2018-10-07,13,False
2018-10-14,20,False
2018-10-21,10,False
2018-10-28,14,False
2018-11-04,16,False
2018-11-11,12,False
2018-11-18,13,False
2018-11-25,14,False
2018-12-02,11,False
2018-12-09,14,False
2018-12-16,18,False
2018-12-23,32,False
2018-12-30,25,False
2019-01-06,16,False
2019-01-13,13,False
2019-01-20,17,False
2019-01-27,14,False
2019-02-03,20,False
2019-02-10,9,False
2019-02-17,16,False
2019-02-24,15,False
2019-03-03,7,False
2019-03-10,6,False
2019-03-17,14,False
2019-03-24,15,False
2019-03-31,11,False
2019-04-07,15,False
2019-04-14,20,False
2019-04-21,17,False
2019-04-28,12,False
2019-05-05,13,False
2019-05-12,15,False
2019-05-19,8,False
2019-05-26,8,False
2019-06-02,18,False
2019-06-09,15,False
2019-06-16,21,False
2019-06-23,18,False
2019-06-30,16,False
2019-07-07,21,False
2019-07-14,13,False
2019-07-21,21,False
2019-07-28,16,False
2019-08-04,22,False
2019-08-11,13,False
2019-08-18,15,False
2019-08-25,16,False
2019-09-01,15,False
2019-09-08,23,False
2019-09-15,16,False
2019-09-22,14,False
2019-09-29,9,False
2019-10-06,21,False
2019-10-13,8,False
2019-10-20,11,False
2019-10-27,18,False
2019-11-03,13,False
2019-11-10,14,False
2019-11-17,10,False
2019-11-24,19,False
2019-12-01,10,False
2019-12-08,17,False
2019-12-15,18,False
2019-12-22,20,False
2019-12-29,27,False
2020-01-05,100,False
2020-01-12,22,False
2020-01-19,16,False
2020-01-26,19,False
2020-02-02,35,False
2020-02-09,47,False
2020-02-16,10,False
2020-02-23,16,False
2020-03-01,10,False
2020-03-08,11,False
2020-03-15,14,False
2020-03-22,7,False
2020-03-29,17,False
2020-04-05,16,False
2020-04-12,12,False
2020-04-19,18,False
2020-04-26,12,False
2020-05-03,14,False
2020-05-10,14,False
