date,Spengler,isPartial
2018-01-07,10,False
2018-01-14,10,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,21,False
2018-02-18,28,False
2018-02-25,31,False
2018-03-04,10,False
2018-03-11,24,False
2018-03-18,20,False
2018-03-25,22,False
2018-04-01,12,False
2018-04-08,32,False
2018-04-15,11,False
2018-04-22,14,False
2018-04-29,16,False
2018-05-06,23,False
2018-05-13,0,False
2018-05-20,11,False
2018-05-27,21,False
2018-06-03,14,False
2018-06-10,20,False
2018-06-17,21,False
2018-06-24,16,False
2018-07-01,16,False
2018-07-08,11,False
2018-07-15,17,False
2018-07-22,12,False
2018-07-29,12,False
2018-08-05,18,False
2018-08-12,12,False
2018-08-19,11,False
2018-08-26,11,False
2018-09-02,11,False
2018-09-09,11,False
2018-09-16,21,False
2018-09-23,11,False
2018-09-30,8,False
2018-10-07,9,False
2018-10-14,0,False
2018-10-21,11,False
2018-10-28,21,False
2018-11-04,23,False
2018-11-11,21,False
2018-11-18,31,False
2018-11-25,15,False
2018-12-02,31,False
2018-12-09,11,False
2018-12-16,11,False
2018-12-23,35,False
2018-12-30,16,False
2019-01-06,15,False
2019-01-13,9,False
2019-01-20,18,False
2019-01-27,32,False
2019-02-03,21,False
2019-02-10,20,False
2019-02-17,20,False
2019-02-24,15,False
2019-03-03,8,False
2019-03-10,15,False
2019-03-17,10,False
2019-03-24,10,False
2019-03-31,24,False
2019-04-07,8,False
2019-04-14,12,False
2019-04-21,11,False
2019-04-28,14,False
2019-05-05,15,False
2019-05-12,21,False
2019-05-19,10,False
2019-05-26,11,False
2019-06-02,27,False
2019-06-09,10,False
2019-06-16,10,False
2019-06-23,14,False
2019-06-30,14,False
2019-07-07,11,False
2019-07-14,14,False
2019-07-21,15,False
2019-07-28,11,False
2019-08-04,21,False
2019-08-11,10,False
2019-08-18,17,False
2019-08-25,19,False
2019-09-01,19,False
2019-09-08,14,False
2019-09-15,10,False
2019-09-22,10,False
2019-09-29,14,False
2019-10-06,10,False
2019-10-13,10,False
2019-10-20,10,False
2019-10-27,10,False
2019-11-03,17,False
2019-11-10,13,False
2019-11-17,14,False
2019-11-24,0,False
2019-12-01,18,False
2019-12-08,13,False
2019-12-15,15,False
2019-12-22,21,False
2019-12-29,38,False
2020-01-05,18,False
2020-01-12,18,False
2020-01-19,9,False
2020-01-26,28,False
2020-02-02,48,False
2020-02-09,100,False
2020-02-16,14,False
2020-02-23,22,False
2020-03-01,13,False
2020-03-08,16,False
2020-03-15,26,False
2020-03-22,9,False
2020-03-29,9,False
2020-04-05,14,False
2020-04-12,10,False
2020-04-19,27,False
2020-04-26,20,False
2020-05-03,16,False
2020-05-10,18,False
