date,Aufsteigende Feuchtigkeit,isPartial
2018-01-07,28,False
2018-01-14,31,False
2018-01-21,31,False
2018-01-28,69,False
2018-02-04,21,False
2018-02-11,21,False
2018-02-18,32,False
2018-02-25,21,False
2018-03-04,28,False
2018-03-11,0,False
2018-03-18,53,False
2018-03-25,30,False
2018-04-01,45,False
2018-04-08,36,False
2018-04-15,100,False
2018-04-22,21,False
2018-04-29,22,False
2018-05-06,22,False
2018-05-13,32,False
2018-05-20,45,False
2018-05-27,44,False
2018-06-03,21,False
2018-06-10,0,False
2018-06-17,21,False
2018-06-24,22,False
2018-07-01,21,False
2018-07-08,21,False
2018-07-15,37,False
2018-07-22,22,False
2018-07-29,22,False
2018-08-05,22,False
2018-08-12,22,False
2018-08-19,22,False
2018-08-26,22,False
2018-09-02,29,False
2018-09-09,29,False
2018-09-16,0,False
2018-09-23,43,False
2018-09-30,29,False
2018-10-07,28,False
2018-10-14,21,False
2018-10-21,42,False
2018-10-28,62,False
2018-11-04,27,False
2018-11-11,42,False
2018-11-18,20,False
2018-11-25,21,False
2018-12-02,27,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,24,False
2018-12-30,33,False
2019-01-06,29,False
2019-01-13,58,False
2019-01-20,48,False
2019-01-27,19,False
2019-02-03,40,False
2019-02-10,0,False
2019-02-17,40,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,20,False
2019-03-17,41,False
2019-03-24,31,False
2019-03-31,41,False
2019-04-07,20,False
2019-04-14,33,False
2019-04-21,54,False
2019-04-28,20,False
2019-05-05,0,False
2019-05-12,20,False
2019-05-19,20,False
2019-05-26,34,False
2019-06-02,20,False
2019-06-09,27,False
2019-06-16,41,False
2019-06-23,31,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,31,False
2019-07-21,33,False
2019-07-28,21,False
2019-08-04,43,False
2019-08-11,41,False
2019-08-18,21,False
2019-08-25,27,False
2019-09-01,0,False
2019-09-08,20,False
2019-09-15,40,False
2019-09-22,0,False
2019-09-29,20,False
2019-10-06,0,False
2019-10-13,58,False
2019-10-20,58,False
2019-10-27,0,False
2019-11-03,43,False
2019-11-10,0,False
2019-11-17,19,False
2019-11-24,18,False
2019-12-01,31,False
2019-12-08,38,False
2019-12-15,38,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,36,False
2020-01-12,17,False
2020-01-19,27,False
2020-01-26,30,False
2020-02-02,36,False
2020-02-09,26,False
2020-02-16,18,False
2020-02-23,35,False
2020-03-01,26,False
2020-03-08,16,False
2020-03-15,16,False
2020-03-22,32,False
2020-03-29,27,False
2020-04-05,26,False
2020-04-12,68,False
2020-04-19,24,False
2020-04-26,32,False
2020-05-03,32,False
2020-05-10,24,False
