date,torta arancia,isPartial
2018-01-07,29,False
2018-01-14,30,False
2018-01-21,49,False
2018-01-28,57,False
2018-02-04,40,False
2018-02-11,55,False
2018-02-18,44,False
2018-02-25,33,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,26,False
2018-03-25,32,False
2018-04-01,17,False
2018-04-08,11,False
2018-04-15,23,False
2018-04-22,20,False
2018-04-29,19,False
2018-05-06,7,False
2018-05-13,0,False
2018-05-20,11,False
2018-05-27,12,False
2018-06-03,8,False
2018-06-10,0,False
2018-06-17,43,False
2018-06-24,8,False
2018-07-01,8,False
2018-07-08,8,False
2018-07-15,0,False
2018-07-22,8,False
2018-07-29,8,False
2018-08-05,9,False
2018-08-12,0,False
2018-08-19,11,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,14,False
2018-09-23,7,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,33,False
2018-10-28,22,False
2018-11-04,24,False
2018-11-11,15,False
2018-11-18,40,False
2018-11-25,34,False
2018-12-02,27,False
2018-12-09,15,False
2018-12-16,20,False
2018-12-23,20,False
2018-12-30,26,False
2019-01-06,42,False
2019-01-13,20,False
2019-01-20,43,False
2019-01-27,17,False
2019-02-03,24,False
2019-02-10,57,False
2019-02-17,53,False
2019-02-24,36,False
2019-03-03,17,False
2019-03-10,8,False
2019-03-17,9,False
2019-03-24,25,False
2019-03-31,57,False
2019-04-07,31,False
2019-04-14,16,False
2019-04-21,9,False
2019-04-28,12,False
2019-05-05,15,False
2019-05-12,12,False
2019-05-19,16,False
2019-05-26,8,False
2019-06-02,8,False
2019-06-09,0,False
2019-06-16,17,False
2019-06-23,9,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,18,False
2019-07-21,0,False
2019-07-28,9,False
2019-08-04,10,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,8,False
2019-09-08,0,False
2019-09-15,8,False
2019-09-22,0,False
2019-09-29,8,False
2019-10-06,12,False
2019-10-13,24,False
2019-10-20,16,False
2019-10-27,28,False
2019-11-03,23,False
2019-11-10,27,False
2019-11-17,15,False
2019-11-24,31,False
2019-12-01,28,False
2019-12-08,12,False
2019-12-15,12,False
2019-12-22,15,False
2019-12-29,0,False
2020-01-05,28,False
2020-01-12,48,False
2020-01-19,19,False
2020-01-26,11,False
2020-02-02,18,False
2020-02-09,7,False
2020-02-16,15,False
2020-02-23,40,False
2020-03-01,57,False
2020-03-08,42,False
2020-03-15,89,False
2020-03-22,100,False
2020-03-29,51,False
2020-04-05,72,False
2020-04-12,29,False
2020-04-19,37,False
2020-04-26,41,True
