date,torta arancia,isPartial
2018-01-07,39,False
2018-01-14,54,False
2018-01-21,97,False
2018-01-28,73,False
2018-02-04,52,False
2018-02-11,40,False
2018-02-18,70,False
2018-02-25,76,False
2018-03-04,26,False
2018-03-11,31,False
2018-03-18,36,False
2018-03-25,17,False
2018-04-01,12,False
2018-04-08,31,False
2018-04-15,31,False
2018-04-22,17,False
2018-04-29,11,False
2018-05-06,21,False
2018-05-13,10,False
2018-05-20,21,False
2018-05-27,11,False
2018-06-03,22,False
2018-06-10,10,False
2018-06-17,15,False
2018-06-24,0,False
2018-07-01,11,False
2018-07-08,0,False
2018-07-15,11,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,10,False
2018-08-12,0,False
2018-08-19,9,False
2018-08-26,10,False
2018-09-02,0,False
2018-09-09,10,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,30,False
2018-10-07,10,False
2018-10-14,0,False
2018-10-21,21,False
2018-10-28,30,False
2018-11-04,41,False
2018-11-11,43,False
2018-11-18,42,False
2018-11-25,21,False
2018-12-02,39,False
2018-12-09,22,False
2018-12-16,46,False
2018-12-23,12,False
2018-12-30,48,False
2019-01-06,40,False
2019-01-13,70,False
2019-01-20,90,False
2019-01-27,69,False
2019-02-03,62,False
2019-02-10,58,False
2019-02-17,74,False
2019-02-24,49,False
2019-03-03,21,False
2019-03-10,60,False
2019-03-17,45,False
2019-03-24,20,False
2019-03-31,34,False
2019-04-07,41,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,10,False
2019-05-05,10,False
2019-05-12,19,False
2019-05-19,30,False
2019-05-26,9,False
2019-06-02,15,False
2019-06-09,16,False
2019-06-16,11,False
2019-06-23,10,False
2019-06-30,11,False
2019-07-07,0,False
2019-07-14,10,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,9,False
2019-08-25,0,False
2019-09-01,9,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,19,False
2019-09-29,10,False
2019-10-06,10,False
2019-10-13,10,False
2019-10-20,9,False
2019-10-27,10,False
2019-11-03,9,False
2019-11-10,19,False
2019-11-17,29,False
2019-11-24,34,False
2019-12-01,40,False
2019-12-08,30,False
2019-12-15,20,False
2019-12-22,38,False
2019-12-29,31,False
2020-01-05,34,False
2020-01-12,47,False
2020-01-19,33,False
2020-01-26,66,False
2020-02-02,86,False
2020-02-09,52,False
2020-02-16,47,False
2020-02-23,37,False
2020-03-01,22,False
2020-03-08,61,False
2020-03-15,67,False
2020-03-22,100,False
2020-03-29,68,False
2020-04-05,72,False
2020-04-12,25,False
2020-04-19,34,False
2020-04-26,40,True
