date,torta arancia,isPartial
2018-01-07,37,False
2018-01-14,51,False
2018-01-21,60,False
2018-01-28,59,False
2018-02-04,57,False
2018-02-11,43,False
2018-02-18,56,False
2018-02-25,76,False
2018-03-04,44,False
2018-03-11,42,False
2018-03-18,34,False
2018-03-25,29,False
2018-04-01,18,False
2018-04-08,22,False
2018-04-15,11,False
2018-04-22,12,False
2018-04-29,21,False
2018-05-06,9,False
2018-05-13,7,False
2018-05-20,5,False
2018-05-27,8,False
2018-06-03,3,False
2018-06-10,5,False
2018-06-17,4,False
2018-06-24,4,False
2018-07-01,2,False
2018-07-08,2,False
2018-07-15,1,False
2018-07-22,2,False
2018-07-29,2,False
2018-08-05,2,False
2018-08-12,3,False
2018-08-19,2,False
2018-08-26,5,False
2018-09-02,3,False
2018-09-09,4,False
2018-09-16,3,False
2018-09-23,6,False
2018-09-30,8,False
2018-10-07,7,False
2018-10-14,7,False
2018-10-21,15,False
2018-10-28,20,False
2018-11-04,30,False
2018-11-11,30,False
2018-11-18,30,False
2018-11-25,38,False
2018-12-02,39,False
2018-12-09,30,False
2018-12-16,21,False
2018-12-23,20,False
2018-12-30,33,False
2019-01-06,31,False
2019-01-13,44,False
2019-01-20,53,False
2019-01-27,54,False
2019-02-03,58,False
2019-02-10,46,False
2019-02-17,51,False
2019-02-24,39,False
2019-03-03,24,False
2019-03-10,35,False
2019-03-17,28,False
2019-03-24,20,False
2019-03-31,26,False
2019-04-07,27,False
2019-04-14,9,False
2019-04-21,11,False
2019-04-28,15,False
2019-05-05,8,False
2019-05-12,14,False
2019-05-19,9,False
2019-05-26,10,False
2019-06-02,6,False
2019-06-09,4,False
2019-06-16,3,False
2019-06-23,2,False
2019-06-30,3,False
2019-07-07,3,False
2019-07-14,3,False
2019-07-21,3,False
2019-07-28,3,False
2019-08-04,2,False
2019-08-11,4,False
2019-08-18,2,False
2019-08-25,2,False
2019-09-01,4,False
2019-09-08,3,False
2019-09-15,5,False
2019-09-22,5,False
2019-09-29,6,False
2019-10-06,10,False
2019-10-13,8,False
2019-10-20,16,False
2019-10-27,15,False
2019-11-03,19,False
2019-11-10,23,False
2019-11-17,32,False
2019-11-24,31,False
2019-12-01,30,False
2019-12-08,30,False
2019-12-15,20,False
2019-12-22,18,False
2019-12-29,22,False
2020-01-05,25,False
2020-01-12,40,False
2020-01-19,55,False
2020-01-26,48,False
2020-02-02,64,False
2020-02-09,55,False
2020-02-16,44,False
2020-02-23,51,False
2020-03-01,49,False
2020-03-08,66,False
2020-03-15,84,False
2020-03-22,100,False
2020-03-29,82,False
2020-04-05,58,False
2020-04-12,52,False
2020-04-19,49,False
2020-04-26,52,True
