date,mantenimiento de aire acondicionado,isPartial
2018-01-07,29,False
2018-01-14,30,False
2018-01-21,29,False
2018-01-28,58,False
2018-02-04,0,False
2018-02-11,44,False
2018-02-18,0,False
2018-02-25,28,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,30,False
2018-03-25,0,False
2018-04-01,30,False
2018-04-08,28,False
2018-04-15,29,False
2018-04-22,28,False
2018-04-29,30,False
2018-05-06,43,False
2018-05-13,29,False
2018-05-20,29,False
2018-05-27,57,False
2018-06-03,28,False
2018-06-10,0,False
2018-06-17,30,False
2018-06-24,70,False
2018-07-01,45,False
2018-07-08,59,False
2018-07-15,30,False
2018-07-22,31,False
2018-07-29,41,False
2018-08-05,41,False
2018-08-12,47,False
2018-08-19,63,False
2018-08-26,30,False
2018-09-02,58,False
2018-09-09,29,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,29,False
2018-10-07,59,False
2018-10-14,28,False
2018-10-21,29,False
2018-10-28,29,False
2018-11-04,27,False
2018-11-11,42,False
2018-11-18,27,False
2018-11-25,56,False
2018-12-02,30,False
2018-12-09,29,False
2018-12-16,30,False
2018-12-23,34,False
2018-12-30,33,False
2019-01-06,29,False
2019-01-13,27,False
2019-01-20,26,False
2019-01-27,27,False
2019-02-03,28,False
2019-02-10,28,False
2019-02-17,28,False
2019-02-24,0,False
2019-03-03,29,False
2019-03-10,44,False
2019-03-17,72,False
2019-03-24,29,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,30,False
2019-04-21,28,False
2019-04-28,42,False
2019-05-05,41,False
2019-05-12,37,False
2019-05-19,0,False
2019-05-26,27,False
2019-06-02,27,False
2019-06-09,27,False
2019-06-16,47,False
2019-06-23,29,False
2019-06-30,72,False
2019-07-07,56,False
2019-07-14,43,False
2019-07-21,44,False
2019-07-28,30,False
2019-08-04,30,False
2019-08-11,51,False
2019-08-18,29,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,26,False
2019-09-15,26,False
2019-09-22,26,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,25,False
2019-10-20,0,False
2019-10-27,26,False
2019-11-03,50,False
2019-11-10,25,False
2019-11-17,100,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,28,False
2020-01-05,26,False
2020-01-12,0,False
2020-01-19,24,False
2020-01-26,36,False
2020-02-02,0,False
2020-02-09,24,False
2020-02-16,24,False
2020-02-23,72,False
2020-03-01,0,False
2020-03-08,23,False
2020-03-15,22,False
2020-03-22,0,False
2020-03-29,21,False
2020-04-05,0,False
2020-04-12,21,False
2020-04-19,21,False
2020-04-26,42,False
2020-05-03,31,False
2020-05-10,28,False
2020-05-17,76,True
