date,Zimmer streichen,isPartial
2018-01-07,37,False
2018-01-14,61,False
2018-01-21,37,False
2018-01-28,37,False
2018-02-04,0,False
2018-02-11,58,False
2018-02-18,0,False
2018-02-25,38,False
2018-03-04,38,False
2018-03-11,0,False
2018-03-18,39,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,60,False
2018-04-15,40,False
2018-04-22,0,False
2018-04-29,40,False
2018-05-06,0,False
2018-05-13,38,False
2018-05-20,40,False
2018-05-27,41,False
2018-06-03,0,False
2018-06-10,61,False
2018-06-17,74,False
2018-06-24,37,False
2018-07-01,73,False
2018-07-08,36,False
2018-07-15,37,False
2018-07-22,37,False
2018-07-29,38,False
2018-08-05,40,False
2018-08-12,41,False
2018-08-19,41,False
2018-08-26,0,False
2018-09-02,100,False
2018-09-09,0,False
2018-09-16,52,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,39,False
2018-10-14,0,False
2018-10-21,38,False
2018-10-28,38,False
2018-11-04,37,False
2018-11-11,38,False
2018-11-18,36,False
2018-11-25,73,False
2018-12-02,48,False
2018-12-09,37,False
2018-12-16,39,False
2018-12-23,45,False
2018-12-30,39,False
2019-01-06,35,False
2019-01-13,35,False
2019-01-20,52,False
2019-01-27,35,False
2019-02-03,35,False
2019-02-10,71,False
2019-02-17,53,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,35,False
2019-03-17,37,False
2019-03-24,37,False
2019-03-31,38,False
2019-04-07,37,False
2019-04-14,60,False
2019-04-21,39,False
2019-04-28,36,False
2019-05-05,0,False
2019-05-12,36,False
2019-05-19,35,False
2019-05-26,37,False
2019-06-02,37,False
2019-06-09,39,False
2019-06-16,57,False
2019-06-23,37,False
2019-06-30,72,False
2019-07-07,35,False
2019-07-14,73,False
2019-07-21,38,False
2019-07-28,55,False
2019-08-04,38,False
2019-08-11,59,False
2019-08-18,53,False
2019-08-25,39,False
2019-09-01,37,False
2019-09-08,36,False
2019-09-15,37,False
2019-09-22,70,False
2019-09-29,53,False
2019-10-06,35,False
2019-10-13,69,False
2019-10-20,34,False
2019-10-27,34,False
2019-11-03,33,False
2019-11-10,34,False
2019-11-17,34,False
2019-11-24,33,False
2019-12-01,35,False
2019-12-08,52,False
2019-12-15,35,False
2019-12-22,40,False
2019-12-29,49,False
2020-01-05,66,False
2020-01-12,96,False
2020-01-19,49,False
2020-01-26,32,False
2020-02-02,32,False
2020-02-09,47,False
2020-02-16,50,False
2020-02-23,0,False
2020-03-01,32,False
2020-03-08,30,False
2020-03-15,0,False
2020-03-22,29,False
2020-03-29,29,False
2020-04-05,49,False
2020-04-12,31,False
2020-04-19,75,False
2020-04-26,73,False
2020-05-03,59,False
2020-05-10,29,False
2020-05-17,73,True
