date,Zimmer streichen,isPartial
2018-01-07,32,False
2018-01-14,58,False
2018-01-21,91,False
2018-01-28,58,False
2018-02-04,55,False
2018-02-11,55,False
2018-02-18,60,False
2018-02-25,70,False
2018-03-04,71,False
2018-03-11,65,False
2018-03-18,71,False
2018-03-25,70,False
2018-04-01,64,False
2018-04-08,28,False
2018-04-15,51,False
2018-04-22,55,False
2018-04-29,46,False
2018-05-06,46,False
2018-05-13,49,False
2018-05-20,29,False
2018-05-27,62,False
2018-06-03,39,False
2018-06-10,48,False
2018-06-17,88,False
2018-06-24,83,False
2018-07-01,38,False
2018-07-08,38,False
2018-07-15,45,False
2018-07-22,51,False
2018-07-29,45,False
2018-08-05,39,False
2018-08-12,51,False
2018-08-19,39,False
2018-08-26,56,False
2018-09-02,89,False
2018-09-09,66,False
2018-09-16,55,False
2018-09-23,89,False
2018-09-30,55,False
2018-10-07,82,False
2018-10-14,49,False
2018-10-21,75,False
2018-10-28,40,False
2018-11-04,47,False
2018-11-11,74,False
2018-11-18,41,False
2018-11-25,37,False
2018-12-02,42,False
2018-12-09,27,False
2018-12-16,49,False
2018-12-23,31,False
2018-12-30,68,False
2019-01-06,40,False
2019-01-13,35,False
2019-01-20,69,False
2019-01-27,89,False
2019-02-03,41,False
2019-02-10,77,False
2019-02-17,31,False
2019-02-24,63,False
2019-03-03,51,False
2019-03-10,70,False
2019-03-17,42,False
2019-03-24,53,False
2019-03-31,58,False
2019-04-07,73,False
2019-04-14,46,False
2019-04-21,72,False
2019-04-28,67,False
2019-05-05,45,False
2019-05-12,42,False
2019-05-19,56,False
2019-05-26,74,False
2019-06-02,36,False
2019-06-09,63,False
2019-06-16,53,False
2019-06-23,37,False
2019-06-30,52,False
2019-07-07,78,False
2019-07-14,75,False
2019-07-21,67,False
2019-07-28,65,False
2019-08-04,44,False
2019-08-11,85,False
2019-08-18,70,False
2019-08-25,47,False
2019-09-01,51,False
2019-09-08,52,False
2019-09-15,47,False
2019-09-22,45,False
2019-09-29,46,False
2019-10-06,51,False
2019-10-13,80,False
2019-10-20,54,False
2019-10-27,53,False
2019-11-03,61,False
2019-11-10,72,False
2019-11-17,14,False
2019-11-24,64,False
2019-12-01,48,False
2019-12-08,29,False
2019-12-15,54,False
2019-12-22,45,False
2019-12-29,47,False
2020-01-05,74,False
2020-01-12,58,False
2020-01-19,78,False
2020-01-26,73,False
2020-02-02,32,False
2020-02-09,49,False
2020-02-16,60,False
2020-02-23,67,False
2020-03-01,63,False
2020-03-08,51,False
2020-03-15,70,False
2020-03-22,93,False
2020-03-29,95,False
2020-04-05,90,False
2020-04-12,69,False
2020-04-19,55,False
2020-04-26,98,False
2020-05-03,75,False
2020-05-10,63,False
2020-05-17,100,True
