date,Gartenbau,isPartial
2018-01-07,0,False
2018-01-14,17,False
2018-01-21,26,False
2018-01-28,26,False
2018-02-04,18,False
2018-02-11,34,False
2018-02-18,17,False
2018-02-25,16,False
2018-03-04,34,False
2018-03-11,0,False
2018-03-18,17,False
2018-03-25,18,False
2018-04-01,0,False
2018-04-08,18,False
2018-04-15,36,False
2018-04-22,0,False
2018-04-29,35,False
2018-05-06,18,False
2018-05-13,34,False
2018-05-20,35,False
2018-05-27,18,False
2018-06-03,17,False
2018-06-10,16,False
2018-06-17,0,False
2018-06-24,34,False
2018-07-01,17,False
2018-07-08,0,False
2018-07-15,35,False
2018-07-22,35,False
2018-07-29,18,False
2018-08-05,0,False
2018-08-12,35,False
2018-08-19,17,False
2018-08-26,0,False
2018-09-02,16,False
2018-09-09,17,False
2018-09-16,25,False
2018-09-23,0,False
2018-09-30,100,False
2018-10-07,17,False
2018-10-14,17,False
2018-10-21,0,False
2018-10-28,17,False
2018-11-04,16,False
2018-11-11,16,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,16,False
2018-12-09,0,False
2018-12-16,16,False
2018-12-23,18,False
2018-12-30,16,False
2019-01-06,14,False
2019-01-13,30,False
2019-01-20,30,False
2019-01-27,23,False
2019-02-03,82,False
2019-02-10,45,False
2019-02-17,23,False
2019-02-24,30,False
2019-03-03,31,False
2019-03-10,0,False
2019-03-17,31,False
2019-03-24,16,False
2019-03-31,48,False
2019-04-07,31,False
2019-04-14,34,False
2019-04-21,16,False
2019-04-28,23,False
2019-05-05,29,False
2019-05-12,15,False
2019-05-19,30,False
2019-05-26,15,False
2019-06-02,46,False
2019-06-09,0,False
2019-06-16,23,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,15,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,15,False
2019-08-18,44,False
2019-08-25,29,False
2019-09-01,14,False
2019-09-08,15,False
2019-09-15,0,False
2019-09-22,15,False
2019-09-29,0,False
2019-10-06,22,False
2019-10-13,0,False
2019-10-20,14,False
2019-10-27,21,False
2019-11-03,14,False
2019-11-10,14,False
2019-11-17,14,False
2019-11-24,14,False
2019-12-01,14,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,16,False
2019-12-29,14,False
2020-01-05,0,False
2020-01-12,13,False
2020-01-19,13,False
2020-01-26,0,False
2020-02-02,21,False
2020-02-09,13,False
2020-02-16,27,False
2020-02-23,13,False
2020-03-01,13,False
2020-03-08,12,False
2020-03-15,17,False
2020-03-22,11,False
2020-03-29,22,False
2020-04-05,43,False
2020-04-12,35,False
2020-04-19,41,False
2020-04-26,17,False
2020-05-03,24,False
2020-05-10,12,False
2020-05-17,26,False
2020-05-24,24,False
2020-05-31,12,False
2020-06-07,18,False
2020-06-14,24,False
2020-06-21,13,False
2020-06-28,38,False
2020-07-05,28,False
