date,gazon artificiel,isPartial
2018-01-07,10,False
2018-01-14,21,False
2018-01-21,10,False
2018-01-28,15,False
2018-02-04,20,False
2018-02-11,21,False
2018-02-18,14,False
2018-02-25,18,False
2018-03-04,15,False
2018-03-11,21,False
2018-03-18,25,False
2018-03-25,21,False
2018-04-01,18,False
2018-04-08,38,False
2018-04-15,45,False
2018-04-22,40,False
2018-04-29,47,False
2018-05-06,72,False
2018-05-13,28,False
2018-05-20,60,False
2018-05-27,58,False
2018-06-03,20,False
2018-06-10,13,False
2018-06-17,17,False
2018-06-24,31,False
2018-07-01,47,False
2018-07-08,46,False
2018-07-15,46,False
2018-07-22,20,False
2018-07-29,32,False
2018-08-05,19,False
2018-08-12,27,False
2018-08-19,36,False
2018-08-26,0,False
2018-09-02,24,False
2018-09-09,0,False
2018-09-16,10,False
2018-09-23,10,False
2018-09-30,21,False
2018-10-07,14,False
2018-10-14,10,False
2018-10-21,10,False
2018-10-28,22,False
2018-11-04,0,False
2018-11-11,15,False
2018-11-18,10,False
2018-11-25,21,False
2018-12-02,10,False
2018-12-09,0,False
2018-12-16,11,False
2018-12-23,13,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,16,False
2019-01-20,20,False
2019-01-27,10,False
2019-02-03,14,False
2019-02-10,24,False
2019-02-17,26,False
2019-02-24,32,False
2019-03-03,36,False
2019-03-10,28,False
2019-03-17,39,False
2019-03-24,22,False
2019-03-31,53,False
2019-04-07,32,False
2019-04-14,26,False
2019-04-21,55,False
2019-04-28,19,False
2019-05-05,57,False
2019-05-12,33,False
2019-05-19,25,False
2019-05-26,30,False
2019-06-02,15,False
2019-06-09,29,False
2019-06-16,32,False
2019-06-23,29,False
2019-06-30,18,False
2019-07-07,27,False
2019-07-14,18,False
2019-07-21,12,False
2019-07-28,31,False
2019-08-04,18,False
2019-08-11,36,False
2019-08-18,82,False
2019-08-25,24,False
2019-09-01,37,False
2019-09-08,21,False
2019-09-15,17,False
2019-09-22,10,False
2019-09-29,10,False
2019-10-06,10,False
2019-10-13,10,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,10,False
2019-11-10,0,False
2019-11-17,10,False
2019-11-24,10,False
2019-12-01,10,False
2019-12-08,10,False
2019-12-15,10,False
2019-12-22,19,False
2019-12-29,11,False
2020-01-05,0,False
2020-01-12,30,False
2020-01-19,20,False
2020-01-26,10,False
2020-02-02,20,False
2020-02-09,13,False
2020-02-16,21,False
2020-02-23,10,False
2020-03-01,19,False
2020-03-08,16,False
2020-03-15,30,False
2020-03-22,27,False
2020-03-29,37,False
2020-04-05,61,False
2020-04-12,100,False
2020-04-19,43,False
2020-04-26,39,False
2020-05-03,41,False
2020-05-10,36,False
2020-05-17,75,False
2020-05-24,68,False
2020-05-31,58,False
2020-06-07,25,False
2020-06-14,34,False
2020-06-21,90,True
