date,gazon artificiel,isPartial
2018-01-07,23,False
2018-01-14,31,False
2018-01-21,23,False
2018-01-28,0,False
2018-02-04,47,False
2018-02-11,0,False
2018-02-18,23,False
2018-02-25,0,False
2018-03-04,36,False
2018-03-11,32,False
2018-03-18,24,False
2018-03-25,41,False
2018-04-01,49,False
2018-04-08,22,False
2018-04-15,41,False
2018-04-22,100,False
2018-04-29,48,False
2018-05-06,95,False
2018-05-13,59,False
2018-05-20,81,False
2018-05-27,24,False
2018-06-03,47,False
2018-06-10,38,False
2018-06-17,40,False
2018-06-24,94,False
2018-07-01,70,False
2018-07-08,35,False
2018-07-15,24,False
2018-07-22,35,False
2018-07-29,23,False
2018-08-05,23,False
2018-08-12,35,False
2018-08-19,24,False
2018-08-26,0,False
2018-09-02,24,False
2018-09-09,24,False
2018-09-16,0,False
2018-09-23,49,False
2018-09-30,25,False
2018-10-07,24,False
2018-10-14,25,False
2018-10-21,26,False
2018-10-28,24,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,24,False
2018-11-25,0,False
2018-12-02,38,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,24,False
2019-01-27,0,False
2019-02-03,24,False
2019-02-10,51,False
2019-02-17,38,False
2019-02-24,0,False
2019-03-03,24,False
2019-03-10,37,False
2019-03-17,38,False
2019-03-24,25,False
2019-03-31,32,False
2019-04-07,33,False
2019-04-14,25,False
2019-04-21,35,False
2019-04-28,72,False
2019-05-05,71,False
2019-05-12,24,False
2019-05-19,23,False
2019-05-26,23,False
2019-06-02,22,False
2019-06-09,43,False
2019-06-16,37,False
2019-06-23,34,False
2019-06-30,45,False
2019-07-07,34,False
2019-07-14,60,False
2019-07-21,31,False
2019-07-28,23,False
2019-08-04,23,False
2019-08-11,21,False
2019-08-18,0,False
2019-08-25,21,False
2019-09-01,22,False
2019-09-08,44,False
2019-09-15,44,False
2019-09-22,66,False
2019-09-29,44,False
2019-10-06,0,False
2019-10-13,44,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,0,False
2019-11-24,21,False
2019-12-01,42,False
2019-12-08,0,False
2019-12-15,21,False
2019-12-22,24,False
2019-12-29,22,False
2020-01-05,20,False
2020-01-12,20,False
2020-01-19,0,False
2020-01-26,20,False
2020-02-02,31,False
2020-02-09,20,False
2020-02-16,20,False
2020-02-23,20,False
2020-03-01,57,False
2020-03-08,29,False
2020-03-15,29,False
2020-03-22,25,False
2020-03-29,17,False
2020-04-05,29,False
2020-04-12,53,False
2020-04-19,22,False
2020-04-26,24,False
2020-05-03,71,False
2020-05-10,28,False
2020-05-17,37,False
2020-05-24,60,False
2020-05-31,44,False
2020-06-07,26,False
2020-06-14,65,False
2020-06-21,69,True
