date,stage guitare,isPartial
2018-01-07,27,False
2018-01-14,27,False
2018-01-21,27,False
2018-01-28,28,False
2018-02-04,27,False
2018-02-11,37,False
2018-02-18,42,False
2018-02-25,42,False
2018-03-04,28,False
2018-03-11,0,False
2018-03-18,28,False
2018-03-25,28,False
2018-04-01,38,False
2018-04-08,37,False
2018-04-15,30,False
2018-04-22,0,False
2018-04-29,43,False
2018-05-06,30,False
2018-05-13,28,False
2018-05-20,58,False
2018-05-27,55,False
2018-06-03,28,False
2018-06-10,36,False
2018-06-17,47,False
2018-06-24,42,False
2018-07-01,27,False
2018-07-08,29,False
2018-07-15,45,False
2018-07-22,45,False
2018-07-29,61,False
2018-08-05,31,False
2018-08-12,31,False
2018-08-19,30,False
2018-08-26,44,False
2018-09-02,29,False
2018-09-09,28,False
2018-09-16,42,False
2018-09-23,57,False
2018-09-30,28,False
2018-10-07,0,False
2018-10-14,28,False
2018-10-21,43,False
2018-10-28,28,False
2018-11-04,55,False
2018-11-11,37,False
2018-11-18,54,False
2018-11-25,55,False
2018-12-02,41,False
2018-12-09,42,False
2018-12-16,29,False
2018-12-23,0,False
2018-12-30,30,False
2019-01-06,41,False
2019-01-13,55,False
2019-01-20,40,False
2019-01-27,35,False
2019-02-03,27,False
2019-02-10,56,False
2019-02-17,29,False
2019-02-24,42,False
2019-03-03,41,False
2019-03-10,41,False
2019-03-17,28,False
2019-03-24,28,False
2019-03-31,46,False
2019-04-07,28,False
2019-04-14,0,False
2019-04-21,56,False
2019-04-28,42,False
2019-05-05,54,False
2019-05-12,55,False
2019-05-19,27,False
2019-05-26,28,False
2019-06-02,25,False
2019-06-09,53,False
2019-06-16,55,False
2019-06-23,41,False
2019-06-30,41,False
2019-07-07,27,False
2019-07-14,42,False
2019-07-21,43,False
2019-07-28,30,False
2019-08-04,59,False
2019-08-11,29,False
2019-08-18,29,False
2019-08-25,27,False
2019-09-01,53,False
2019-09-08,44,False
2019-09-15,53,False
2019-09-22,25,False
2019-09-29,34,False
2019-10-06,26,False
2019-10-13,51,False
2019-10-20,39,False
2019-10-27,51,False
2019-11-03,37,False
2019-11-10,25,False
2019-11-17,25,False
2019-11-24,25,False
2019-12-01,49,False
2019-12-08,41,False
2019-12-15,100,False
2019-12-22,0,False
2019-12-29,27,False
2020-01-05,48,False
2020-01-12,32,False
2020-01-19,57,False
2020-01-26,36,False
2020-02-02,24,False
2020-02-09,36,False
2020-02-16,49,False
2020-02-23,23,False
2020-03-01,58,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,21,False
2020-04-05,43,False
2020-04-12,29,False
2020-04-19,21,False
2020-04-26,30,False
2020-05-03,20,False
2020-05-10,54,False
2020-05-17,27,True
