date,Architecte paysagiste,isPartial
2018-01-07,14,False
2018-01-14,21,False
2018-01-21,14,False
2018-01-28,28,False
2018-02-04,28,False
2018-02-11,19,False
2018-02-18,0,False
2018-02-25,15,False
2018-03-04,21,False
2018-03-11,14,False
2018-03-18,21,False
2018-03-25,0,False
2018-04-01,15,False
2018-04-08,14,False
2018-04-15,30,False
2018-04-22,22,False
2018-04-29,15,False
2018-05-06,0,False
2018-05-13,43,False
2018-05-20,15,False
2018-05-27,0,False
2018-06-03,18,False
2018-06-10,22,False
2018-06-17,14,False
2018-06-24,14,False
2018-07-01,14,False
2018-07-08,0,False
2018-07-15,16,False
2018-07-22,16,False
2018-07-29,16,False
2018-08-05,29,False
2018-08-12,18,False
2018-08-19,17,False
2018-08-26,15,False
2018-09-02,29,False
2018-09-09,32,False
2018-09-16,14,False
2018-09-23,14,False
2018-09-30,0,False
2018-10-07,14,False
2018-10-14,13,False
2018-10-21,14,False
2018-10-28,15,False
2018-11-04,14,False
2018-11-11,27,False
2018-11-18,20,False
2018-11-25,28,False
2018-12-02,14,False
2018-12-09,14,False
2018-12-16,29,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,28,False
2019-01-13,19,False
2019-01-20,27,False
2019-01-27,20,False
2019-02-03,13,False
2019-02-10,28,False
2019-02-17,0,False
2019-02-24,21,False
2019-03-03,18,False
2019-03-10,14,False
2019-03-17,14,False
2019-03-24,24,False
2019-03-31,38,False
2019-04-07,15,False
2019-04-14,15,False
2019-04-21,21,False
2019-04-28,31,False
2019-05-05,15,False
2019-05-12,20,False
2019-05-19,15,False
2019-05-26,15,False
2019-06-02,27,False
2019-06-09,15,False
2019-06-16,15,False
2019-06-23,15,False
2019-06-30,22,False
2019-07-07,44,False
2019-07-14,16,False
2019-07-21,17,False
2019-07-28,24,False
2019-08-04,56,False
2019-08-11,39,False
2019-08-18,18,False
2019-08-25,24,False
2019-09-01,29,False
2019-09-08,14,False
2019-09-15,21,False
2019-09-22,28,False
2019-09-29,14,False
2019-10-06,14,False
2019-10-13,14,False
2019-10-20,29,False
2019-10-27,0,False
2019-11-03,27,False
2019-11-10,14,False
2019-11-17,35,False
2019-11-24,14,False
2019-12-01,33,False
2019-12-08,27,False
2019-12-15,14,False
2019-12-22,17,False
2019-12-29,0,False
2020-01-05,20,False
2020-01-12,27,False
2020-01-19,18,False
2020-01-26,13,False
2020-02-02,14,False
2020-02-09,27,False
2020-02-16,21,False
2020-02-23,0,False
2020-03-01,19,False
2020-03-08,13,False
2020-03-15,14,False
2020-03-22,21,False
2020-03-29,14,False
2020-04-05,14,False
2020-04-12,14,False
2020-04-19,20,False
2020-04-26,13,False
2020-05-03,0,False
2020-05-10,13,False
2020-05-17,14,False
2020-05-24,13,False
2020-05-31,12,False
2020-06-07,22,False
2020-06-14,22,False
2020-06-21,100,True
