date,entreprise climatisation,isPartial
2018-01-07,0,False
2018-01-14,25,False
2018-01-21,37,False
2018-01-28,100,False
2018-02-04,0,False
2018-02-11,77,False
2018-02-18,40,False
2018-02-25,27,False
2018-03-04,25,False
2018-03-11,26,False
2018-03-18,52,False
2018-03-25,39,False
2018-04-01,27,False
2018-04-08,0,False
2018-04-15,41,False
2018-04-22,27,False
2018-04-29,27,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,53,False
2018-05-27,25,False
2018-06-03,37,False
2018-06-10,0,False
2018-06-17,25,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,52,False
2018-07-15,28,False
2018-07-22,29,False
2018-07-29,40,False
2018-08-05,64,False
2018-08-12,33,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,26,False
2018-09-09,59,False
2018-09-16,37,False
2018-09-23,42,False
2018-09-30,25,False
2018-10-07,25,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,27,False
2018-11-04,37,False
2018-11-11,24,False
2018-11-18,37,False
2018-11-25,25,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,26,False
2018-12-23,32,False
2018-12-30,44,False
2019-01-06,50,False
2019-01-13,25,False
2019-01-20,49,False
2019-01-27,25,False
2019-02-03,35,False
2019-02-10,25,False
2019-02-17,0,False
2019-02-24,39,False
2019-03-03,38,False
2019-03-10,25,False
2019-03-17,39,False
2019-03-24,27,False
2019-03-31,52,False
2019-04-07,26,False
2019-04-14,27,False
2019-04-21,29,False
2019-04-28,28,False
2019-05-05,0,False
2019-05-12,27,False
2019-05-19,26,False
2019-05-26,41,False
2019-06-02,24,False
2019-06-09,26,False
2019-06-16,66,False
2019-06-23,93,False
2019-06-30,53,False
2019-07-07,27,False
2019-07-14,29,False
2019-07-21,81,False
2019-07-28,43,False
2019-08-04,51,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,58,False
2019-09-01,26,False
2019-09-08,0,False
2019-09-15,26,False
2019-09-22,50,False
2019-09-29,58,False
2019-10-06,26,False
2019-10-13,77,False
2019-10-20,26,False
2019-10-27,27,False
2019-11-03,0,False
2019-11-10,60,False
2019-11-17,38,False
2019-11-24,25,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,63,False
2019-12-22,0,False
2019-12-29,28,False
2020-01-05,24,False
2020-01-12,0,False
2020-01-19,25,False
2020-01-26,24,False
2020-02-02,25,False
2020-02-09,25,False
2020-02-16,26,False
2020-02-23,47,False
2020-03-01,24,False
2020-03-08,35,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,24,False
2020-04-26,48,False
2020-05-03,23,False
2020-05-10,0,False
2020-05-17,25,False
2020-05-24,84,False
2020-05-31,23,False
2020-06-07,35,False
2020-06-14,0,False
2020-06-21,0,True
