date,festa compleanno,isPartial
2018-01-07,73,False
2018-01-14,41,False
2018-01-21,21,False
2018-01-28,40,False
2018-02-04,39,False
2018-02-11,0,False
2018-02-18,48,False
2018-02-25,28,False
2018-03-04,39,False
2018-03-11,67,False
2018-03-18,69,False
2018-03-25,41,False
2018-04-01,63,False
2018-04-08,59,False
2018-04-15,40,False
2018-04-22,63,False
2018-04-29,59,False
2018-05-06,57,False
2018-05-13,100,False
2018-05-20,20,False
2018-05-27,20,False
2018-06-03,59,False
2018-06-10,66,False
2018-06-17,39,False
2018-06-24,39,False
2018-07-01,19,False
2018-07-08,19,False
2018-07-15,0,False
2018-07-22,48,False
2018-07-29,20,False
2018-08-05,21,False
2018-08-12,21,False
2018-08-19,62,False
2018-08-26,78,False
2018-09-02,68,False
2018-09-09,58,False
2018-09-16,56,False
2018-09-23,19,False
2018-09-30,60,False
2018-10-07,40,False
2018-10-14,60,False
2018-10-21,50,False
2018-10-28,58,False
2018-11-04,0,False
2018-11-11,71,False
2018-11-18,30,False
2018-11-25,20,False
2018-12-02,41,False
2018-12-09,21,False
2018-12-16,43,False
2018-12-23,75,False
2018-12-30,91,False
2019-01-06,42,False
2019-01-13,50,False
2019-01-20,29,False
2019-01-27,37,False
2019-02-03,39,False
2019-02-10,30,False
2019-02-17,71,False
2019-02-24,41,False
2019-03-03,41,False
2019-03-10,40,False
2019-03-17,20,False
2019-03-24,40,False
2019-03-31,39,False
2019-04-07,39,False
2019-04-14,51,False
2019-04-21,20,False
2019-04-28,48,False
2019-05-05,38,False
2019-05-12,37,False
2019-05-19,65,False
2019-05-26,54,False
2019-06-02,49,False
2019-06-09,29,False
2019-06-16,51,False
2019-06-23,20,False
2019-06-30,39,False
2019-07-07,66,False
2019-07-14,49,False
2019-07-21,20,False
2019-07-28,40,False
2019-08-04,21,False
2019-08-11,44,False
2019-08-18,30,False
2019-08-25,38,False
2019-09-01,45,False
2019-09-08,64,False
2019-09-15,55,False
2019-09-22,27,False
2019-09-29,55,False
2019-10-06,56,False
2019-10-13,37,False
2019-10-20,45,False
2019-10-27,61,False
2019-11-03,18,False
2019-11-10,36,False
2019-11-17,35,False
2019-11-24,0,False
2019-12-01,74,False
2019-12-08,37,False
2019-12-15,56,False
2019-12-22,0,False
2019-12-29,71,False
2020-01-05,55,False
2020-01-12,17,False
2020-01-19,36,False
2020-01-26,42,False
2020-02-02,51,False
2020-02-09,35,False
2020-02-16,0,False
2020-02-23,64,False
2020-03-01,40,False
2020-03-08,15,False
2020-03-15,31,False
2020-03-22,36,False
2020-03-29,0,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,44,False
2020-04-26,26,True
