date,festa compleanno,isPartial
2018-01-07,78,False
2018-01-14,76,False
2018-01-21,26,False
2018-01-28,0,False
2018-02-04,26,False
2018-02-11,0,False
2018-02-18,50,False
2018-02-25,24,False
2018-03-04,39,False
2018-03-11,25,False
2018-03-18,51,False
2018-03-25,55,False
2018-04-01,27,False
2018-04-08,53,False
2018-04-15,41,False
2018-04-22,29,False
2018-04-29,26,False
2018-05-06,39,False
2018-05-13,28,False
2018-05-20,27,False
2018-05-27,53,False
2018-06-03,52,False
2018-06-10,0,False
2018-06-17,52,False
2018-06-24,27,False
2018-07-01,53,False
2018-07-08,27,False
2018-07-15,40,False
2018-07-22,66,False
2018-07-29,39,False
2018-08-05,25,False
2018-08-12,23,False
2018-08-19,49,False
2018-08-26,75,False
2018-09-02,26,False
2018-09-09,41,False
2018-09-16,80,False
2018-09-23,54,False
2018-09-30,78,False
2018-10-07,56,False
2018-10-14,29,False
2018-10-21,43,False
2018-10-28,28,False
2018-11-04,41,False
2018-11-11,29,False
2018-11-18,28,False
2018-11-25,0,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,48,False
2018-12-30,0,False
2019-01-06,81,False
2019-01-13,0,False
2019-01-20,52,False
2019-01-27,27,False
2019-02-03,0,False
2019-02-10,26,False
2019-02-17,41,False
2019-02-24,55,False
2019-03-03,29,False
2019-03-10,57,False
2019-03-17,44,False
2019-03-24,29,False
2019-03-31,29,False
2019-04-07,0,False
2019-04-14,30,False
2019-04-21,30,False
2019-04-28,0,False
2019-05-05,28,False
2019-05-12,27,False
2019-05-19,55,False
2019-05-26,0,False
2019-06-02,29,False
2019-06-09,58,False
2019-06-16,29,False
2019-06-23,28,False
2019-06-30,29,False
2019-07-07,26,False
2019-07-14,27,False
2019-07-21,0,False
2019-07-28,27,False
2019-08-04,53,False
2019-08-11,25,False
2019-08-18,34,False
2019-08-25,45,False
2019-09-01,24,False
2019-09-08,79,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,49,False
2019-10-06,25,False
2019-10-13,0,False
2019-10-20,100,False
2019-10-27,25,False
2019-11-03,23,False
2019-11-10,23,False
2019-11-17,24,False
2019-11-24,24,False
2019-12-01,24,False
2019-12-08,25,False
2019-12-15,0,False
2019-12-22,27,False
2019-12-29,25,False
2020-01-05,24,False
2020-01-12,45,False
2020-01-19,46,False
2020-01-26,0,False
2020-02-02,21,False
2020-02-09,23,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,32,False
2020-03-08,20,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
