date,Fitness Trainer,isPartial
2018-01-07,65,False
2018-01-14,43,False
2018-01-21,48,False
2018-01-28,32,False
2018-02-04,33,False
2018-02-11,49,False
2018-02-18,32,False
2018-02-25,32,False
2018-03-04,32,False
2018-03-11,48,False
2018-03-18,0,False
2018-03-25,56,False
2018-04-01,33,False
2018-04-08,50,False
2018-04-15,67,False
2018-04-22,32,False
2018-04-29,33,False
2018-05-06,34,False
2018-05-13,32,False
2018-05-20,0,False
2018-05-27,31,False
2018-06-03,33,False
2018-06-10,31,False
2018-06-17,64,False
2018-06-24,0,False
2018-07-01,50,False
2018-07-08,34,False
2018-07-15,48,False
2018-07-22,34,False
2018-07-29,44,False
2018-08-05,0,False
2018-08-12,46,False
2018-08-19,46,False
2018-08-26,31,False
2018-09-02,96,False
2018-09-09,63,False
2018-09-16,32,False
2018-09-23,54,False
2018-09-30,67,False
2018-10-07,0,False
2018-10-14,74,False
2018-10-21,31,False
2018-10-28,31,False
2018-11-04,31,False
2018-11-11,63,False
2018-11-18,41,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,48,False
2018-12-16,33,False
2018-12-23,36,False
2018-12-30,33,False
2019-01-06,89,False
2019-01-13,59,False
2019-01-20,44,False
2019-01-27,30,False
2019-02-03,30,False
2019-02-10,46,False
2019-02-17,31,False
2019-02-24,47,False
2019-03-03,45,False
2019-03-10,74,False
2019-03-17,62,False
2019-03-24,62,False
2019-03-31,73,False
2019-04-07,33,False
2019-04-14,69,False
2019-04-21,43,False
2019-04-28,31,False
2019-05-05,61,False
2019-05-12,46,False
2019-05-19,61,False
2019-05-26,30,False
2019-06-02,45,False
2019-06-09,0,False
2019-06-16,30,False
2019-06-23,31,False
2019-06-30,30,False
2019-07-07,31,False
2019-07-14,49,False
2019-07-21,34,False
2019-07-28,48,False
2019-08-04,32,False
2019-08-11,43,False
2019-08-18,30,False
2019-08-25,30,False
2019-09-01,58,False
2019-09-08,29,False
2019-09-15,44,False
2019-09-22,29,False
2019-09-29,89,False
2019-10-06,45,False
2019-10-13,29,False
2019-10-20,44,False
2019-10-27,57,False
2019-11-03,28,False
2019-11-10,37,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,57,False
2019-12-22,31,False
2019-12-29,48,False
2020-01-05,62,False
2020-01-12,34,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,44,False
2020-02-09,39,False
2020-02-16,36,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,50,False
2020-03-15,37,False
2020-03-22,57,False
2020-03-29,24,False
2020-04-05,27,False
2020-04-12,39,False
2020-04-19,100,False
2020-04-26,24,False
2020-05-03,41,False
2020-05-10,33,False
2020-05-17,57,True
