date,Fitness Trainer,isPartial
2018-01-07,83,False
2018-01-14,0,False
2018-01-21,31,False
2018-01-28,62,False
2018-02-04,47,False
2018-02-11,47,False
2018-02-18,62,False
2018-02-25,93,False
2018-03-04,79,False
2018-03-11,62,False
2018-03-18,32,False
2018-03-25,66,False
2018-04-01,84,False
2018-04-08,43,False
2018-04-15,77,False
2018-04-22,64,False
2018-04-29,33,False
2018-05-06,100,False
2018-05-13,48,False
2018-05-20,35,False
2018-05-27,46,False
2018-06-03,49,False
2018-06-10,63,False
2018-06-17,32,False
2018-06-24,48,False
2018-07-01,41,False
2018-07-08,74,False
2018-07-15,0,False
2018-07-22,64,False
2018-07-29,56,False
2018-08-05,69,False
2018-08-12,53,False
2018-08-19,70,False
2018-08-26,52,False
2018-09-02,50,False
2018-09-09,44,False
2018-09-16,43,False
2018-09-23,49,False
2018-09-30,32,False
2018-10-07,84,False
2018-10-14,31,False
2018-10-21,61,False
2018-10-28,31,False
2018-11-04,30,False
2018-11-11,51,False
2018-11-18,49,False
2018-11-25,0,False
2018-12-02,30,False
2018-12-09,0,False
2018-12-16,31,False
2018-12-23,72,False
2018-12-30,33,False
2019-01-06,87,False
2019-01-13,28,False
2019-01-20,67,False
2019-01-27,29,False
2019-02-03,58,False
2019-02-10,59,False
2019-02-17,44,False
2019-02-24,60,False
2019-03-03,0,False
2019-03-10,77,False
2019-03-17,60,False
2019-03-24,45,False
2019-03-31,39,False
2019-04-07,89,False
2019-04-14,32,False
2019-04-21,63,False
2019-04-28,45,False
2019-05-05,57,False
2019-05-12,59,False
2019-05-19,29,False
2019-05-26,91,False
2019-06-02,60,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,90,False
2019-06-30,29,False
2019-07-07,29,False
2019-07-14,0,False
2019-07-21,77,False
2019-07-28,42,False
2019-08-04,49,False
2019-08-11,32,False
2019-08-18,33,False
2019-08-25,44,False
2019-09-01,72,False
2019-09-08,30,False
2019-09-15,30,False
2019-09-22,58,False
2019-09-29,44,False
2019-10-06,66,False
2019-10-13,37,False
2019-10-20,28,False
2019-10-27,47,False
2019-11-03,36,False
2019-11-10,47,False
2019-11-17,54,False
2019-11-24,81,False
2019-12-01,56,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,81,False
2019-12-29,46,False
2020-01-05,54,False
2020-01-12,26,False
2020-01-19,53,False
2020-01-26,34,False
2020-02-02,65,False
2020-02-09,43,False
2020-02-16,68,False
2020-02-23,52,False
2020-03-01,26,False
2020-03-08,24,False
2020-03-15,23,False
2020-03-22,38,False
2020-03-29,35,False
2020-04-05,51,False
2020-04-12,33,False
2020-04-19,48,False
2020-04-26,92,False
2020-05-03,31,False
2020-05-10,35,False
2020-05-17,56,True
