date,Haus Bauen,isPartial
2018-01-07,32,False
2018-01-14,21,False
2018-01-21,32,False
2018-01-28,53,False
2018-02-04,55,False
2018-02-11,42,False
2018-02-18,53,False
2018-02-25,51,False
2018-03-04,42,False
2018-03-11,21,False
2018-03-18,32,False
2018-03-25,22,False
2018-04-01,34,False
2018-04-08,33,False
2018-04-15,70,False
2018-04-22,22,False
2018-04-29,46,False
2018-05-06,24,False
2018-05-13,34,False
2018-05-20,23,False
2018-05-27,43,False
2018-06-03,67,False
2018-06-10,42,False
2018-06-17,64,False
2018-06-24,22,False
2018-07-01,45,False
2018-07-08,33,False
2018-07-15,23,False
2018-07-22,33,False
2018-07-29,65,False
2018-08-05,83,False
2018-08-12,21,False
2018-08-19,0,False
2018-08-26,44,False
2018-09-02,0,False
2018-09-09,33,False
2018-09-16,32,False
2018-09-23,43,False
2018-09-30,34,False
2018-10-07,0,False
2018-10-14,64,False
2018-10-21,41,False
2018-10-28,0,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,20,False
2018-11-25,41,False
2018-12-02,21,False
2018-12-09,0,False
2018-12-16,21,False
2018-12-23,43,False
2018-12-30,62,False
2019-01-06,38,False
2019-01-13,38,False
2019-01-20,19,False
2019-01-27,38,False
2019-02-03,78,False
2019-02-10,61,False
2019-02-17,79,False
2019-02-24,0,False
2019-03-03,29,False
2019-03-10,38,False
2019-03-17,41,False
2019-03-24,100,False
2019-03-31,41,False
2019-04-07,20,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,19,False
2019-05-05,0,False
2019-05-12,60,False
2019-05-19,59,False
2019-05-26,41,False
2019-06-02,30,False
2019-06-09,39,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,42,False
2019-07-21,22,False
2019-07-28,21,False
2019-08-04,21,False
2019-08-11,39,False
2019-08-18,30,False
2019-08-25,39,False
2019-09-01,49,False
2019-09-08,39,False
2019-09-15,29,False
2019-09-22,19,False
2019-09-29,76,False
2019-10-06,19,False
2019-10-13,55,False
2019-10-20,28,False
2019-10-27,36,False
2019-11-03,35,False
2019-11-10,54,False
2019-11-17,18,False
2019-11-24,18,False
2019-12-01,18,False
2019-12-08,45,False
2019-12-15,54,False
2019-12-22,19,False
2019-12-29,37,False
2020-01-05,42,False
2020-01-12,66,False
2020-01-19,34,False
2020-01-26,42,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,34,False
2020-02-23,33,False
2020-03-01,17,False
2020-03-08,16,False
2020-03-15,15,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,33,False
2020-04-12,55,False
2020-04-19,39,False
2020-04-26,45,False
2020-05-03,46,False
2020-05-10,86,False
