date,discoteche,isPartial
2018-01-07,20,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,19,False
2018-02-04,12,False
2018-02-11,6,False
2018-02-18,18,False
2018-02-25,18,False
2018-03-04,13,False
2018-03-11,0,False
2018-03-18,31,False
2018-03-25,7,False
2018-04-01,7,False
2018-04-08,13,False
2018-04-15,26,False
2018-04-22,21,False
2018-04-29,7,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,6,False
2018-05-27,20,False
2018-06-03,33,False
2018-06-10,18,False
2018-06-17,19,False
2018-06-24,6,False
2018-07-01,26,False
2018-07-08,56,False
2018-07-15,38,False
2018-07-22,61,False
2018-07-29,74,False
2018-08-05,66,False
2018-08-12,81,False
2018-08-19,27,False
2018-08-26,23,False
2018-09-02,54,False
2018-09-09,31,False
2018-09-16,19,False
2018-09-23,6,False
2018-09-30,0,False
2018-10-07,13,False
2018-10-14,7,False
2018-10-21,7,False
2018-10-28,20,False
2018-11-04,19,False
2018-11-11,27,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,7,False
2018-12-09,27,False
2018-12-16,13,False
2018-12-23,35,False
2018-12-30,26,False
2019-01-06,6,False
2019-01-13,6,False
2019-01-20,12,False
2019-01-27,17,False
2019-02-03,23,False
2019-02-10,17,False
2019-02-17,36,False
2019-02-24,6,False
2019-03-03,19,False
2019-03-10,0,False
2019-03-17,19,False
2019-03-24,12,False
2019-03-31,18,False
2019-04-07,12,False
2019-04-14,6,False
2019-04-21,6,False
2019-04-28,17,False
2019-05-05,6,False
2019-05-12,17,False
2019-05-19,0,False
2019-05-26,22,False
2019-06-02,6,False
2019-06-09,6,False
2019-06-16,25,False
2019-06-23,36,False
2019-06-30,30,False
2019-07-07,23,False
2019-07-14,46,False
2019-07-21,54,False
2019-07-28,40,False
2019-08-04,86,False
2019-08-11,100,False
2019-08-18,51,False
2019-08-25,34,False
2019-09-01,22,False
2019-09-08,11,False
2019-09-15,16,False
2019-09-22,5,False
2019-09-29,6,False
2019-10-06,6,False
2019-10-13,29,False
2019-10-20,17,False
2019-10-27,6,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,5,False
2019-12-01,6,False
2019-12-08,29,False
2019-12-15,11,False
2019-12-22,24,False
2019-12-29,40,False
2020-01-05,16,False
2020-01-12,21,False
2020-01-19,5,False
2020-01-26,16,False
2020-02-02,15,False
2020-02-09,11,False
2020-02-16,11,False
2020-02-23,0,False
2020-03-01,39,False
2020-03-08,0,False
2020-03-15,4,False
2020-03-22,4,False
2020-03-29,8,False
2020-04-05,9,False
2020-04-12,32,False
2020-04-19,8,False
2020-04-26,23,True
