date,discoteche,isPartial
2018-01-07,50,False
2018-01-14,25,False
2018-01-21,50,False
2018-01-28,36,False
2018-02-04,24,False
2018-02-11,50,False
2018-02-18,36,False
2018-02-25,23,False
2018-03-04,24,False
2018-03-11,47,False
2018-03-18,49,False
2018-03-25,38,False
2018-04-01,0,False
2018-04-08,50,False
2018-04-15,38,False
2018-04-22,26,False
2018-04-29,49,False
2018-05-06,49,False
2018-05-13,0,False
2018-05-20,49,False
2018-05-27,50,False
2018-06-03,24,False
2018-06-10,35,False
2018-06-17,25,False
2018-06-24,24,False
2018-07-01,24,False
2018-07-08,60,False
2018-07-15,24,False
2018-07-22,37,False
2018-07-29,87,False
2018-08-05,25,False
2018-08-12,54,False
2018-08-19,38,False
2018-08-26,24,False
2018-09-02,24,False
2018-09-09,25,False
2018-09-16,36,False
2018-09-23,24,False
2018-09-30,49,False
2018-10-07,50,False
2018-10-14,50,False
2018-10-21,25,False
2018-10-28,0,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,48,False
2018-11-25,25,False
2018-12-02,0,False
2018-12-09,49,False
2018-12-16,35,False
2018-12-23,53,False
2018-12-30,26,False
2019-01-06,24,False
2019-01-13,0,False
2019-01-20,32,False
2019-01-27,62,False
2019-02-03,21,False
2019-02-10,21,False
2019-02-17,0,False
2019-02-24,44,False
2019-03-03,22,False
2019-03-10,22,False
2019-03-17,21,False
2019-03-24,0,False
2019-03-31,22,False
2019-04-07,54,False
2019-04-14,23,False
2019-04-21,35,False
2019-04-28,21,False
2019-05-05,21,False
2019-05-12,21,False
2019-05-19,41,False
2019-05-26,40,False
2019-06-02,22,False
2019-06-09,23,False
2019-06-16,45,False
2019-06-23,22,False
2019-06-30,65,False
2019-07-07,42,False
2019-07-14,67,False
2019-07-21,58,False
2019-07-28,93,False
2019-08-04,36,False
2019-08-11,51,False
2019-08-18,23,False
2019-08-25,22,False
2019-09-01,41,False
2019-09-08,32,False
2019-09-15,21,False
2019-09-22,30,False
2019-09-29,29,False
2019-10-06,41,False
2019-10-13,41,False
2019-10-20,100,False
2019-10-27,30,False
2019-11-03,28,False
2019-11-10,19,False
2019-11-17,19,False
2019-11-24,29,False
2019-12-01,40,False
2019-12-08,30,False
2019-12-15,0,False
2019-12-22,59,False
2019-12-29,36,False
2020-01-05,22,False
2020-01-12,19,False
2020-01-19,58,False
2020-01-26,19,False
2020-02-02,18,False
2020-02-09,0,False
2020-02-16,19,False
2020-02-23,36,False
2020-03-01,17,False
2020-03-08,17,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,17,False
2020-04-05,35,False
2020-04-12,35,False
2020-04-19,42,False
2020-04-26,0,True
