date,video editing,isPartial
2018-01-07,0,False
2018-01-14,19,False
2018-01-21,93,False
2018-01-28,36,False
2018-02-04,18,False
2018-02-11,46,False
2018-02-18,19,False
2018-02-25,36,False
2018-03-04,19,False
2018-03-11,38,False
2018-03-18,20,False
2018-03-25,50,False
2018-04-01,31,False
2018-04-08,20,False
2018-04-15,41,False
2018-04-22,42,False
2018-04-29,20,False
2018-05-06,40,False
2018-05-13,49,False
2018-05-20,39,False
2018-05-27,40,False
2018-06-03,40,False
2018-06-10,29,False
2018-06-17,29,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,20,False
2018-07-15,20,False
2018-07-22,30,False
2018-07-29,20,False
2018-08-05,51,False
2018-08-12,22,False
2018-08-19,40,False
2018-08-26,19,False
2018-09-02,28,False
2018-09-09,58,False
2018-09-16,29,False
2018-09-23,20,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,100,False
2018-10-28,38,False
2018-11-04,47,False
2018-11-11,50,False
2018-11-18,29,False
2018-11-25,20,False
2018-12-02,21,False
2018-12-09,41,False
2018-12-16,74,False
2018-12-23,47,False
2018-12-30,32,False
2019-01-06,39,False
2019-01-13,19,False
2019-01-20,18,False
2019-01-27,36,False
2019-02-03,73,False
2019-02-10,37,False
2019-02-17,47,False
2019-02-24,37,False
2019-03-03,0,False
2019-03-10,19,False
2019-03-17,19,False
2019-03-24,29,False
2019-03-31,19,False
2019-04-07,18,False
2019-04-14,19,False
2019-04-21,39,False
2019-04-28,37,False
2019-05-05,36,False
2019-05-12,53,False
2019-05-19,18,False
2019-05-26,17,False
2019-06-02,56,False
2019-06-09,19,False
2019-06-16,73,False
2019-06-23,0,False
2019-06-30,56,False
2019-07-07,19,False
2019-07-14,39,False
2019-07-21,20,False
2019-07-28,29,False
2019-08-04,21,False
2019-08-11,22,False
2019-08-18,20,False
2019-08-25,0,False
2019-09-01,17,False
2019-09-08,28,False
2019-09-15,55,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,36,False
2019-10-13,18,False
2019-10-20,27,False
2019-10-27,35,False
2019-11-03,17,False
2019-11-10,17,False
2019-11-17,51,False
2019-11-24,34,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,36,False
2019-12-22,30,False
2019-12-29,19,False
2020-01-05,17,False
2020-01-12,16,False
2020-01-19,33,False
2020-01-26,33,False
2020-02-02,17,False
2020-02-09,33,False
2020-02-16,33,False
2020-02-23,64,False
2020-03-01,38,False
2020-03-08,37,False
2020-03-15,67,False
2020-03-22,57,False
2020-03-29,36,False
2020-04-05,38,False
2020-04-12,76,False
2020-04-19,44,False
2020-04-26,88,True
