date,foto album,isPartial
2018-01-07,47,False
2018-01-14,47,False
2018-01-21,95,False
2018-01-28,46,False
2018-02-04,45,False
2018-02-11,46,False
2018-02-18,0,False
2018-02-25,44,False
2018-03-04,90,False
2018-03-11,67,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,47,False
2018-04-08,0,False
2018-04-15,49,False
2018-04-22,47,False
2018-04-29,0,False
2018-05-06,45,False
2018-05-13,68,False
2018-05-20,45,False
2018-05-27,45,False
2018-06-03,0,False
2018-06-10,43,False
2018-06-17,45,False
2018-06-24,0,False
2018-07-01,44,False
2018-07-08,42,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,43,False
2018-08-05,84,False
2018-08-12,61,False
2018-08-19,42,False
2018-08-26,65,False
2018-09-02,45,False
2018-09-09,92,False
2018-09-16,45,False
2018-09-23,0,False
2018-09-30,45,False
2018-10-07,46,False
2018-10-14,98,False
2018-10-21,0,False
2018-10-28,90,False
2018-11-04,45,False
2018-11-11,48,False
2018-11-18,46,False
2018-11-25,48,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,100,False
2018-12-23,0,False
2018-12-30,50,False
2019-01-06,96,False
2019-01-13,92,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,43,False
2019-02-10,44,False
2019-02-17,92,False
2019-02-24,0,False
2019-03-03,43,False
2019-03-10,44,False
2019-03-17,0,False
2019-03-24,88,False
2019-03-31,43,False
2019-04-07,44,False
2019-04-14,89,False
2019-04-21,59,False
2019-04-28,43,False
2019-05-05,0,False
2019-05-12,42,False
2019-05-19,84,False
2019-05-26,0,False
2019-06-02,44,False
2019-06-09,62,False
2019-06-16,42,False
2019-06-23,42,False
2019-06-30,84,False
2019-07-07,0,False
2019-07-14,60,False
2019-07-21,41,False
2019-07-28,41,False
2019-08-04,0,False
2019-08-11,39,False
2019-08-18,38,False
2019-08-25,39,False
2019-09-01,39,False
2019-09-08,81,False
2019-09-15,40,False
2019-09-22,79,False
2019-09-29,81,False
2019-10-06,0,False
2019-10-13,39,False
2019-10-20,56,False
2019-10-27,0,False
2019-11-03,57,False
2019-11-10,100,False
2019-11-17,38,False
2019-11-24,39,False
2019-12-01,40,False
2019-12-08,41,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,45,False
2020-01-05,42,False
2020-01-12,39,False
2020-01-19,0,False
2020-01-26,40,False
2020-02-02,39,False
2020-02-09,41,False
2020-02-16,39,False
2020-02-23,0,False
2020-03-01,36,False
2020-03-08,0,False
2020-03-15,71,False
2020-03-22,49,False
2020-03-29,0,False
2020-04-05,53,False
2020-04-12,89,False
2020-04-19,50,False
2020-04-26,57,True
