date,Cross training,isPartial
2018-01-07,31,False
2018-01-14,22,False
2018-01-21,33,False
2018-01-28,31,False
2018-02-04,22,False
2018-02-11,32,False
2018-02-18,30,False
2018-02-25,23,False
2018-03-04,13,False
2018-03-11,26,False
2018-03-18,19,False
2018-03-25,15,False
2018-04-01,30,False
2018-04-08,29,False
2018-04-15,24,False
2018-04-22,23,False
2018-04-29,20,False
2018-05-06,14,False
2018-05-13,14,False
2018-05-20,32,False
2018-05-27,28,False
2018-06-03,18,False
2018-06-10,33,False
2018-06-17,18,False
2018-06-24,25,False
2018-07-01,28,False
2018-07-08,20,False
2018-07-15,16,False
2018-07-22,32,False
2018-07-29,33,False
2018-08-05,35,False
2018-08-12,29,False
2018-08-19,30,False
2018-08-26,47,False
2018-09-02,32,False
2018-09-09,40,False
2018-09-16,53,False
2018-09-23,28,False
2018-09-30,34,False
2018-10-07,25,False
2018-10-14,18,False
2018-10-21,15,False
2018-10-28,23,False
2018-11-04,28,False
2018-11-11,24,False
2018-11-18,18,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,14,False
2018-12-16,15,False
2018-12-23,30,False
2018-12-30,22,False
2019-01-06,31,False
2019-01-13,19,False
2019-01-20,27,False
2019-01-27,27,False
2019-02-03,18,False
2019-02-10,19,False
2019-02-17,31,False
2019-02-24,26,False
2019-03-03,37,False
2019-03-10,31,False
2019-03-17,16,False
2019-03-24,40,False
2019-03-31,29,False
2019-04-07,20,False
2019-04-14,27,False
2019-04-21,25,False
2019-04-28,31,False
2019-05-05,52,False
2019-05-12,23,False
2019-05-19,26,False
2019-05-26,25,False
2019-06-02,24,False
2019-06-09,26,False
2019-06-16,26,False
2019-06-23,20,False
2019-06-30,23,False
2019-07-07,17,False
2019-07-14,16,False
2019-07-21,17,False
2019-07-28,20,False
2019-08-04,46,False
2019-08-11,22,False
2019-08-18,56,False
2019-08-25,18,False
2019-09-01,55,False
2019-09-08,51,False
2019-09-15,51,False
2019-09-22,40,False
2019-09-29,52,False
2019-10-06,38,False
2019-10-13,14,False
2019-10-20,32,False
2019-10-27,30,False
2019-11-03,46,False
2019-11-10,25,False
2019-11-17,24,False
2019-11-24,23,False
2019-12-01,27,False
2019-12-08,41,False
2019-12-15,14,False
2019-12-22,19,False
2019-12-29,32,False
2020-01-05,21,False
2020-01-12,42,False
2020-01-19,28,False
2020-01-26,27,False
2020-02-02,28,False
2020-02-09,22,False
2020-02-16,35,False
2020-02-23,26,False
2020-03-01,52,False
2020-03-08,23,False
2020-03-15,23,False
2020-03-22,28,False
2020-03-29,22,False
2020-04-05,28,False
2020-04-12,31,False
2020-04-19,14,False
2020-04-26,18,False
2020-05-03,17,False
2020-05-10,31,False
2020-05-17,28,False
2020-05-24,18,False
2020-05-31,14,False
2020-06-07,20,False
2020-06-14,18,False
2020-06-21,100,True
