date,Cross training,isPartial
2018-01-07,41,False
2018-01-14,40,False
2018-01-21,41,False
2018-01-28,41,False
2018-02-04,42,False
2018-02-11,63,False
2018-02-18,42,False
2018-02-25,82,False
2018-03-04,68,False
2018-03-11,0,False
2018-03-18,42,False
2018-03-25,82,False
2018-04-01,43,False
2018-04-08,42,False
2018-04-15,45,False
2018-04-22,41,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,42,False
2018-05-27,40,False
2018-06-03,40,False
2018-06-10,38,False
2018-06-17,0,False
2018-06-24,80,False
2018-07-01,65,False
2018-07-08,40,False
2018-07-15,60,False
2018-07-22,40,False
2018-07-29,39,False
2018-08-05,37,False
2018-08-12,95,False
2018-08-19,0,False
2018-08-26,100,False
2018-09-02,60,False
2018-09-09,40,False
2018-09-16,40,False
2018-09-23,41,False
2018-09-30,41,False
2018-10-07,42,False
2018-10-14,42,False
2018-10-21,43,False
2018-10-28,41,False
2018-11-04,40,False
2018-11-11,41,False
2018-11-18,40,False
2018-11-25,40,False
2018-12-02,41,False
2018-12-09,41,False
2018-12-16,42,False
2018-12-23,0,False
2018-12-30,45,False
2019-01-06,41,False
2019-01-13,40,False
2019-01-20,39,False
2019-01-27,39,False
2019-02-03,60,False
2019-02-10,44,False
2019-02-17,44,False
2019-02-24,46,False
2019-03-03,0,False
2019-03-10,41,False
2019-03-17,85,False
2019-03-24,0,False
2019-03-31,36,False
2019-04-07,36,False
2019-04-14,74,False
2019-04-21,36,False
2019-04-28,34,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,34,False
2019-05-26,35,False
2019-06-02,32,False
2019-06-09,33,False
2019-06-16,34,False
2019-06-23,0,False
2019-06-30,49,False
2019-07-07,0,False
2019-07-14,97,False
2019-07-21,35,False
2019-07-28,53,False
2019-08-04,0,False
2019-08-11,45,False
2019-08-18,35,False
2019-08-25,51,False
2019-09-01,45,False
2019-09-08,66,False
2019-09-15,47,False
2019-09-22,31,False
2019-09-29,31,False
2019-10-06,68,False
2019-10-13,33,False
2019-10-20,0,False
2019-10-27,33,False
2019-11-03,61,False
2019-11-10,32,False
2019-11-17,50,False
2019-11-24,0,False
2019-12-01,34,False
2019-12-08,0,False
2019-12-15,49,False
2019-12-22,36,False
2019-12-29,34,False
2020-01-05,95,False
2020-01-12,45,False
2020-01-19,62,False
2020-01-26,0,False
2020-02-02,64,False
2020-02-09,62,False
2020-02-16,31,False
2020-02-23,0,False
2020-03-01,31,False
2020-03-08,0,False
2020-03-15,48,False
2020-03-22,47,False
2020-03-29,42,False
2020-04-05,41,False
2020-04-12,27,False
2020-04-19,28,False
2020-04-26,0,False
2020-05-03,27,False
2020-05-10,28,False
2020-05-17,0,False
2020-05-24,29,False
2020-05-31,0,False
2020-06-07,28,False
2020-06-14,43,False
2020-06-21,0,True
