date,Punto A Croce,isPartial
2018-01-07,18,False
2018-01-14,18,False
2018-01-21,75,False
2018-01-28,27,False
2018-02-04,92,False
2018-02-11,28,False
2018-02-18,76,False
2018-02-25,28,False
2018-03-04,19,False
2018-03-11,28,False
2018-03-18,30,False
2018-03-25,20,False
2018-04-01,42,False
2018-04-08,50,False
2018-04-15,21,False
2018-04-22,21,False
2018-04-29,61,False
2018-05-06,30,False
2018-05-13,20,False
2018-05-20,20,False
2018-05-27,0,False
2018-06-03,20,False
2018-06-10,67,False
2018-06-17,20,False
2018-06-24,30,False
2018-07-01,39,False
2018-07-08,29,False
2018-07-15,20,False
2018-07-22,40,False
2018-07-29,30,False
2018-08-05,20,False
2018-08-12,45,False
2018-08-19,40,False
2018-08-26,28,False
2018-09-02,38,False
2018-09-09,58,False
2018-09-16,68,False
2018-09-23,79,False
2018-09-30,49,False
2018-10-07,41,False
2018-10-14,41,False
2018-10-21,20,False
2018-10-28,19,False
2018-11-04,19,False
2018-11-11,61,False
2018-11-18,0,False
2018-11-25,40,False
2018-12-02,0,False
2018-12-09,42,False
2018-12-16,43,False
2018-12-23,59,False
2018-12-30,42,False
2019-01-06,68,False
2019-01-13,38,False
2019-01-20,18,False
2019-01-27,45,False
2019-02-03,36,False
2019-02-10,0,False
2019-02-17,55,False
2019-02-24,47,False
2019-03-03,38,False
2019-03-10,19,False
2019-03-17,58,False
2019-03-24,19,False
2019-03-31,56,False
2019-04-07,47,False
2019-04-14,0,False
2019-04-21,20,False
2019-04-28,37,False
2019-05-05,45,False
2019-05-12,18,False
2019-05-19,18,False
2019-05-26,35,False
2019-06-02,19,False
2019-06-09,19,False
2019-06-16,18,False
2019-06-23,77,False
2019-06-30,19,False
2019-07-07,29,False
2019-07-14,40,False
2019-07-21,20,False
2019-07-28,0,False
2019-08-04,51,False
2019-08-11,0,False
2019-08-18,100,False
2019-08-25,55,False
2019-09-01,44,False
2019-09-08,37,False
2019-09-15,28,False
2019-09-22,28,False
2019-09-29,18,False
2019-10-06,54,False
2019-10-13,54,False
2019-10-20,53,False
2019-10-27,26,False
2019-11-03,51,False
2019-11-10,68,False
2019-11-17,52,False
2019-11-24,52,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,36,False
2019-12-22,41,False
2019-12-29,49,False
2020-01-05,35,False
2020-01-12,65,False
2020-01-19,34,False
2020-01-26,58,False
2020-02-02,33,False
2020-02-09,42,False
2020-02-16,17,False
2020-02-23,40,False
2020-03-01,23,False
2020-03-08,30,False
2020-03-15,38,False
2020-03-22,35,False
2020-03-29,51,False
2020-04-05,23,False
2020-04-12,61,False
2020-04-19,29,False
2020-04-26,38,True
