date,maquillaje boda,isPartial
2018-01-07,15,False
2018-01-14,15,False
2018-01-21,22,False
2018-01-28,15,False
2018-02-04,15,False
2018-02-11,15,False
2018-02-18,30,False
2018-02-25,29,False
2018-03-04,15,False
2018-03-11,22,False
2018-03-18,0,False
2018-03-25,20,False
2018-04-01,30,False
2018-04-08,43,False
2018-04-15,15,False
2018-04-22,29,False
2018-04-29,33,False
2018-05-06,43,False
2018-05-13,23,False
2018-05-20,44,False
2018-05-27,28,False
2018-06-03,22,False
2018-06-10,50,False
2018-06-17,15,False
2018-06-24,31,False
2018-07-01,24,False
2018-07-08,17,False
2018-07-15,35,False
2018-07-22,36,False
2018-07-29,38,False
2018-08-05,20,False
2018-08-12,43,False
2018-08-19,20,False
2018-08-26,53,False
2018-09-02,54,False
2018-09-09,60,False
2018-09-16,29,False
2018-09-23,14,False
2018-09-30,28,False
2018-10-07,60,False
2018-10-14,28,False
2018-10-21,14,False
2018-10-28,0,False
2018-11-04,26,False
2018-11-11,0,False
2018-11-18,13,False
2018-11-25,13,False
2018-12-02,28,False
2018-12-09,15,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,45,False
2019-01-13,14,False
2019-01-20,13,False
2019-01-27,12,False
2019-02-03,14,False
2019-02-10,0,False
2019-02-17,14,False
2019-02-24,25,False
2019-03-03,22,False
2019-03-10,14,False
2019-03-17,14,False
2019-03-24,29,False
2019-03-31,21,False
2019-04-07,19,False
2019-04-14,53,False
2019-04-21,14,False
2019-04-28,30,False
2019-05-05,31,False
2019-05-12,42,False
2019-05-19,21,False
2019-05-26,13,False
2019-06-02,26,False
2019-06-09,39,False
2019-06-16,100,False
2019-06-23,22,False
2019-06-30,15,False
2019-07-07,29,False
2019-07-14,24,False
2019-07-21,32,False
2019-07-28,18,False
2019-08-04,20,False
2019-08-11,21,False
2019-08-18,29,False
2019-08-25,17,False
2019-09-01,81,False
2019-09-08,20,False
2019-09-15,65,False
2019-09-22,33,False
2019-09-29,33,False
2019-10-06,39,False
2019-10-13,51,False
2019-10-20,45,False
2019-10-27,20,False
2019-11-03,13,False
2019-11-10,12,False
2019-11-17,25,False
2019-11-24,12,False
2019-12-01,27,False
2019-12-08,20,False
2019-12-15,13,False
2019-12-22,16,False
2019-12-29,0,False
2020-01-05,20,False
2020-01-12,0,False
2020-01-19,12,False
2020-01-26,30,False
2020-02-02,0,False
2020-02-09,12,False
2020-02-16,0,False
2020-02-23,30,False
2020-03-01,0,False
2020-03-08,34,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,12,False
2020-04-12,20,True
