date,maquillaje boda,isPartial
2018-01-07,7,False
2018-01-14,15,False
2018-01-21,15,False
2018-01-28,10,False
2018-02-04,14,False
2018-02-11,20,False
2018-02-18,15,False
2018-02-25,24,False
2018-03-04,45,False
2018-03-11,38,False
2018-03-18,17,False
2018-03-25,22,False
2018-04-01,40,False
2018-04-08,33,False
2018-04-15,34,False
2018-04-22,36,False
2018-04-29,37,False
2018-05-06,54,False
2018-05-13,39,False
2018-05-20,41,False
2018-05-27,65,False
2018-06-03,59,False
2018-06-10,46,False
2018-06-17,45,False
2018-06-24,42,False
2018-07-01,58,False
2018-07-08,54,False
2018-07-15,44,False
2018-07-22,59,False
2018-07-29,49,False
2018-08-05,28,False
2018-08-12,29,False
2018-08-19,66,False
2018-08-26,100,False
2018-09-02,79,False
2018-09-09,51,False
2018-09-16,76,False
2018-09-23,61,False
2018-09-30,40,False
2018-10-07,29,False
2018-10-14,40,False
2018-10-21,36,False
2018-10-28,32,False
2018-11-04,23,False
2018-11-11,9,False
2018-11-18,11,False
2018-11-25,14,False
2018-12-02,12,False
2018-12-09,25,False
2018-12-16,7,False
2018-12-23,0,False
2018-12-30,16,False
2019-01-06,5,False
2019-01-13,9,False
2019-01-20,18,False
2019-01-27,13,False
2019-02-03,19,False
2019-02-10,7,False
2019-02-17,17,False
2019-02-24,21,False
2019-03-03,29,False
2019-03-10,39,False
2019-03-17,7,False
2019-03-24,24,False
2019-03-31,27,False
2019-04-07,32,False
2019-04-14,12,False
2019-04-21,26,False
2019-04-28,28,False
2019-05-05,44,False
2019-05-12,32,False
2019-05-19,57,False
2019-05-26,40,False
2019-06-02,33,False
2019-06-09,72,False
2019-06-16,64,False
2019-06-23,36,False
2019-06-30,38,False
2019-07-07,63,False
2019-07-14,58,False
2019-07-21,39,False
2019-07-28,30,False
2019-08-04,28,False
2019-08-11,38,False
2019-08-18,69,False
2019-08-25,46,False
2019-09-01,69,False
2019-09-08,69,False
2019-09-15,61,False
2019-09-22,35,False
2019-09-29,48,False
2019-10-06,35,False
2019-10-13,46,False
2019-10-20,40,False
2019-10-27,26,False
2019-11-03,15,False
2019-11-10,17,False
2019-11-17,4,False
2019-11-24,18,False
2019-12-01,13,False
2019-12-08,18,False
2019-12-15,8,False
2019-12-22,12,False
2019-12-29,21,False
2020-01-05,4,False
2020-01-12,10,False
2020-01-19,10,False
2020-01-26,18,False
2020-02-02,22,False
2020-02-09,10,False
2020-02-16,20,False
2020-02-23,16,False
2020-03-01,23,False
2020-03-08,11,False
2020-03-15,0,False
2020-03-22,3,False
2020-03-29,11,False
2020-04-05,7,False
2020-04-12,16,True
