date,modista,isPartial
2018-01-07,21,False
2018-01-14,22,False
2018-01-21,7,False
2018-01-28,25,False
2018-02-04,33,False
2018-02-11,26,False
2018-02-18,33,False
2018-02-25,24,False
2018-03-04,41,False
2018-03-11,17,False
2018-03-18,47,False
2018-03-25,12,False
2018-04-01,29,False
2018-04-08,48,False
2018-04-15,19,False
2018-04-22,25,False
2018-04-29,22,False
2018-05-06,7,False
2018-05-13,15,False
2018-05-20,33,False
2018-05-27,15,False
2018-06-03,22,False
2018-06-10,21,False
2018-06-17,8,False
2018-06-24,11,False
2018-07-01,26,False
2018-07-08,22,False
2018-07-15,15,False
2018-07-22,11,False
2018-07-29,29,False
2018-08-05,32,False
2018-08-12,14,False
2018-08-19,25,False
2018-08-26,14,False
2018-09-02,7,False
2018-09-09,21,False
2018-09-16,7,False
2018-09-23,32,False
2018-09-30,14,False
2018-10-07,7,False
2018-10-14,10,False
2018-10-21,18,False
2018-10-28,25,False
2018-11-04,17,False
2018-11-11,14,False
2018-11-18,17,False
2018-11-25,14,False
2018-12-02,15,False
2018-12-09,8,False
2018-12-16,11,False
2018-12-23,13,False
2018-12-30,8,False
2019-01-06,18,False
2019-01-13,14,False
2019-01-20,10,False
2019-01-27,20,False
2019-02-03,22,False
2019-02-10,21,False
2019-02-17,25,False
2019-02-24,38,False
2019-03-03,22,False
2019-03-10,30,False
2019-03-17,22,False
2019-03-24,29,False
2019-03-31,27,False
2019-04-07,18,False
2019-04-14,28,False
2019-04-21,20,False
2019-04-28,11,False
2019-05-05,44,False
2019-05-12,15,False
2019-05-19,36,False
2019-05-26,21,False
2019-06-02,35,False
2019-06-09,14,False
2019-06-16,26,False
2019-06-23,29,False
2019-06-30,18,False
2019-07-07,28,False
2019-07-14,18,False
2019-07-21,25,False
2019-07-28,11,False
2019-08-04,21,False
2019-08-11,31,False
2019-08-18,17,False
2019-08-25,17,False
2019-09-01,17,False
2019-09-08,23,False
2019-09-15,90,False
2019-09-22,34,False
2019-09-29,34,False
2019-10-06,27,False
2019-10-13,33,False
2019-10-20,10,False
2019-10-27,36,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,19,False
2019-11-24,16,False
2019-12-01,20,False
2019-12-08,17,False
2019-12-15,25,False
2019-12-22,21,False
2019-12-29,28,False
2020-01-05,13,False
2020-01-12,18,False
2020-01-19,26,False
2020-01-26,22,False
2020-02-02,15,False
2020-02-09,12,False
2020-02-16,19,False
2020-02-23,16,False
2020-03-01,33,False
2020-03-08,17,False
2020-03-15,8,False
2020-03-22,100,False
2020-03-29,16,False
2020-04-05,8,False
2020-04-12,9,True
