date,service traiteur,isPartial
2018-01-07,55,False
2018-01-14,28,False
2018-01-21,27,False
2018-01-28,42,False
2018-02-04,37,False
2018-02-11,42,False
2018-02-18,30,False
2018-02-25,39,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,29,False
2018-03-25,29,False
2018-04-01,58,False
2018-04-08,56,False
2018-04-15,31,False
2018-04-22,30,False
2018-04-29,44,False
2018-05-06,46,False
2018-05-13,56,False
2018-05-20,57,False
2018-05-27,55,False
2018-06-03,64,False
2018-06-10,27,False
2018-06-17,41,False
2018-06-24,28,False
2018-07-01,45,False
2018-07-08,43,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,100,False
2018-08-05,35,False
2018-08-12,55,False
2018-08-19,45,False
2018-08-26,45,False
2018-09-02,29,False
2018-09-09,28,False
2018-09-16,27,False
2018-09-23,70,False
2018-09-30,83,False
2018-10-07,28,False
2018-10-14,35,False
2018-10-21,54,False
2018-10-28,59,False
2018-11-04,0,False
2018-11-11,53,False
2018-11-18,45,False
2018-11-25,28,False
2018-12-02,41,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,35,False
2018-12-30,32,False
2019-01-06,28,False
2019-01-13,65,False
2019-01-20,41,False
2019-01-27,36,False
2019-02-03,39,False
2019-02-10,41,False
2019-02-17,27,False
2019-02-24,0,False
2019-03-03,28,False
2019-03-10,28,False
2019-03-17,38,False
2019-03-24,0,False
2019-03-31,29,False
2019-04-07,39,False
2019-04-14,45,False
2019-04-21,0,False
2019-04-28,93,False
2019-05-05,91,False
2019-05-12,59,False
2019-05-19,68,False
2019-05-26,30,False
2019-06-02,40,False
2019-06-09,44,False
2019-06-16,58,False
2019-06-23,59,False
2019-06-30,39,False
2019-07-07,30,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,35,False
2019-08-04,37,False
2019-08-11,39,False
2019-08-18,56,False
2019-08-25,66,False
2019-09-01,44,False
2019-09-08,43,False
2019-09-15,47,False
2019-09-22,41,False
2019-09-29,27,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,43,False
2019-10-27,29,False
2019-11-03,55,False
2019-11-10,57,False
2019-11-17,28,False
2019-11-24,55,False
2019-12-01,44,False
2019-12-08,27,False
2019-12-15,42,False
2019-12-22,33,False
2019-12-29,64,False
2020-01-05,27,False
2020-01-12,40,False
2020-01-19,55,False
2020-01-26,45,False
2020-02-02,27,False
2020-02-09,36,False
2020-02-16,66,False
2020-02-23,52,False
2020-03-01,52,False
2020-03-08,77,False
2020-03-15,55,False
2020-03-22,84,False
2020-03-29,55,False
2020-04-05,41,False
2020-04-12,28,False
2020-04-19,27,False
2020-04-26,27,False
2020-05-03,0,False
2020-05-10,27,False
2020-05-17,0,True
