date,parrucchiere uomo,isPartial
2018-01-07,42,False
2018-01-14,42,False
2018-01-21,20,False
2018-01-28,20,False
2018-02-04,59,False
2018-02-11,38,False
2018-02-18,18,False
2018-02-25,72,False
2018-03-04,18,False
2018-03-11,55,False
2018-03-18,37,False
2018-03-25,0,False
2018-04-01,41,False
2018-04-08,18,False
2018-04-15,38,False
2018-04-22,100,False
2018-04-29,0,False
2018-05-06,54,False
2018-05-13,36,False
2018-05-20,74,False
2018-05-27,19,False
2018-06-03,39,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,39,False
2018-07-01,19,False
2018-07-08,58,False
2018-07-15,39,False
2018-07-22,20,False
2018-07-29,0,False
2018-08-05,63,False
2018-08-12,50,False
2018-08-19,77,False
2018-08-26,44,False
2018-09-02,19,False
2018-09-09,18,False
2018-09-16,35,False
2018-09-23,18,False
2018-09-30,55,False
2018-10-07,37,False
2018-10-14,19,False
2018-10-21,0,False
2018-10-28,54,False
2018-11-04,17,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,37,False
2018-12-02,17,False
2018-12-09,0,False
2018-12-16,60,False
2018-12-23,24,False
2018-12-30,42,False
2019-01-06,21,False
2019-01-13,20,False
2019-01-20,57,False
2019-01-27,69,False
2019-02-03,20,False
2019-02-10,0,False
2019-02-17,81,False
2019-02-24,18,False
2019-03-03,0,False
2019-03-10,63,False
2019-03-17,21,False
2019-03-24,62,False
2019-03-31,0,False
2019-04-07,57,False
2019-04-14,60,False
2019-04-21,46,False
2019-04-28,0,False
2019-05-05,36,False
2019-05-12,0,False
2019-05-19,60,False
2019-05-26,38,False
2019-06-02,20,False
2019-06-09,60,False
2019-06-16,43,False
2019-06-23,63,False
2019-06-30,65,False
2019-07-07,20,False
2019-07-14,43,False
2019-07-21,43,False
2019-07-28,46,False
2019-08-04,73,False
2019-08-11,80,False
2019-08-18,50,False
2019-08-25,22,False
2019-09-01,38,False
2019-09-08,40,False
2019-09-15,58,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,59,False
2019-10-13,0,False
2019-10-20,97,False
2019-10-27,19,False
2019-11-03,37,False
2019-11-10,38,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,40,False
2019-12-08,39,False
2019-12-15,40,False
2019-12-22,49,False
2019-12-29,69,False
2020-01-05,0,False
2020-01-12,37,False
2020-01-19,37,False
2020-01-26,18,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,19,False
2020-02-23,36,False
2020-03-01,53,False
2020-03-08,17,False
2020-03-15,0,False
2020-03-22,17,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,18,False
2020-04-19,0,False
2020-04-26,0,True
