date,Dach isolieren,isPartial
2018-01-07,49,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,25,False
2018-02-11,38,False
2018-02-18,37,False
2018-02-25,49,False
2018-03-04,25,False
2018-03-11,49,False
2018-03-18,25,False
2018-03-25,53,False
2018-04-01,66,False
2018-04-08,38,False
2018-04-15,78,False
2018-04-22,50,False
2018-04-29,65,False
2018-05-06,52,False
2018-05-13,50,False
2018-05-20,35,False
2018-05-27,26,False
2018-06-03,25,False
2018-06-10,49,False
2018-06-17,24,False
2018-06-24,25,False
2018-07-01,33,False
2018-07-08,49,False
2018-07-15,26,False
2018-07-22,34,False
2018-07-29,60,False
2018-08-05,38,False
2018-08-12,35,False
2018-08-19,26,False
2018-08-26,25,False
2018-09-02,50,False
2018-09-09,42,False
2018-09-16,25,False
2018-09-23,76,False
2018-09-30,25,False
2018-10-07,25,False
2018-10-14,42,False
2018-10-21,57,False
2018-10-28,49,False
2018-11-04,36,False
2018-11-11,49,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,48,False
2018-12-09,48,False
2018-12-16,25,False
2018-12-23,29,False
2018-12-30,34,False
2019-01-06,31,False
2019-01-13,53,False
2019-01-20,45,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,35,False
2019-02-17,70,False
2019-02-24,48,False
2019-03-03,23,False
2019-03-10,35,False
2019-03-17,48,False
2019-03-24,36,False
2019-03-31,48,False
2019-04-07,96,False
2019-04-14,26,False
2019-04-21,50,False
2019-04-28,0,False
2019-05-05,46,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,24,False
2019-06-02,23,False
2019-06-09,48,False
2019-06-16,36,False
2019-06-23,24,False
2019-06-30,59,False
2019-07-07,24,False
2019-07-14,24,False
2019-07-21,39,False
2019-07-28,100,False
2019-08-04,34,False
2019-08-11,24,False
2019-08-18,24,False
2019-08-25,24,False
2019-09-01,39,False
2019-09-08,24,False
2019-09-15,24,False
2019-09-22,23,False
2019-09-29,35,False
2019-10-06,39,False
2019-10-13,23,False
2019-10-20,57,False
2019-10-27,52,False
2019-11-03,21,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,43,False
2019-12-01,29,False
2019-12-08,33,False
2019-12-15,23,False
2019-12-22,52,False
2019-12-29,47,False
2020-01-05,21,False
2020-01-12,41,False
2020-01-19,42,False
2020-01-26,35,False
2020-02-02,35,False
2020-02-09,34,False
2020-02-16,35,False
2020-02-23,21,False
2020-03-01,41,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,31,False
2020-03-29,38,False
2020-04-05,41,False
2020-04-12,33,False
2020-04-19,19,False
2020-04-26,37,False
2020-05-03,38,False
2020-05-10,19,False
