date,Coach sportif,isPartial
2018-01-07,35,False
2018-01-14,40,False
2018-01-21,53,False
2018-01-28,61,False
2018-02-04,15,False
2018-02-11,62,False
2018-02-18,41,False
2018-02-25,46,False
2018-03-04,38,False
2018-03-11,45,False
2018-03-18,35,False
2018-03-25,20,False
2018-04-01,25,False
2018-04-08,45,False
2018-04-15,43,False
2018-04-22,23,False
2018-04-29,40,False
2018-05-06,21,False
2018-05-13,30,False
2018-05-20,31,False
2018-05-27,30,False
2018-06-03,45,False
2018-06-10,39,False
2018-06-17,25,False
2018-06-24,20,False
2018-07-01,46,False
2018-07-08,32,False
2018-07-15,34,False
2018-07-22,34,False
2018-07-29,29,False
2018-08-05,35,False
2018-08-12,30,False
2018-08-19,23,False
2018-08-26,32,False
2018-09-02,32,False
2018-09-09,36,False
2018-09-16,38,False
2018-09-23,31,False
2018-09-30,54,False
2018-10-07,23,False
2018-10-14,36,False
2018-10-21,37,False
2018-10-28,31,False
2018-11-04,44,False
2018-11-11,37,False
2018-11-18,44,False
2018-11-25,39,False
2018-12-02,29,False
2018-12-09,15,False
2018-12-16,26,False
2018-12-23,43,False
2018-12-30,50,False
2019-01-06,29,False
2019-01-13,24,False
2019-01-20,32,False
2019-01-27,32,False
2019-02-03,29,False
2019-02-10,62,False
2019-02-17,37,False
2019-02-24,59,False
2019-03-03,38,False
2019-03-10,34,False
2019-03-17,22,False
2019-03-24,36,False
2019-03-31,48,False
2019-04-07,33,False
2019-04-14,37,False
2019-04-21,29,False
2019-04-28,38,False
2019-05-05,25,False
2019-05-12,22,False
2019-05-19,61,False
2019-05-26,22,False
2019-06-02,25,False
2019-06-09,27,False
2019-06-16,28,False
2019-06-23,21,False
2019-06-30,27,False
2019-07-07,28,False
2019-07-14,56,False
2019-07-21,39,False
2019-07-28,53,False
2019-08-04,52,False
2019-08-11,24,False
2019-08-18,39,False
2019-08-25,35,False
2019-09-01,38,False
2019-09-08,44,False
2019-09-15,29,False
2019-09-22,21,False
2019-09-29,18,False
2019-10-06,32,False
2019-10-13,20,False
2019-10-20,49,False
2019-10-27,20,False
2019-11-03,53,False
2019-11-10,39,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,32,False
2019-12-08,17,False
2019-12-15,36,False
2019-12-22,48,False
2019-12-29,27,False
2020-01-05,40,False
2020-01-12,34,False
2020-01-19,23,False
2020-01-26,42,False
2020-02-02,46,False
2020-02-09,42,False
2020-02-16,28,False
2020-02-23,36,False
2020-03-01,39,False
2020-03-08,33,False
2020-03-15,21,False
2020-03-22,34,False
2020-03-29,17,False
2020-04-05,38,False
2020-04-12,42,False
2020-04-19,28,False
2020-04-26,32,False
2020-05-03,29,False
2020-05-10,24,False
2020-05-17,36,False
2020-05-24,39,False
2020-05-31,24,False
2020-06-07,34,False
2020-06-14,70,False
2020-06-21,100,True
