date,Coach sportif,isPartial
2018-01-07,36,False
2018-01-14,61,False
2018-01-21,61,False
2018-01-28,48,False
2018-02-04,35,False
2018-02-11,61,False
2018-02-18,37,False
2018-02-25,37,False
2018-03-04,76,False
2018-03-11,74,False
2018-03-18,74,False
2018-03-25,62,False
2018-04-01,0,False
2018-04-08,37,False
2018-04-15,39,False
2018-04-22,37,False
2018-04-29,40,False
2018-05-06,41,False
2018-05-13,76,False
2018-05-20,75,False
2018-05-27,37,False
2018-06-03,0,False
2018-06-10,54,False
2018-06-17,57,False
2018-06-24,58,False
2018-07-01,37,False
2018-07-08,0,False
2018-07-15,42,False
2018-07-22,71,False
2018-07-29,42,False
2018-08-05,43,False
2018-08-12,44,False
2018-08-19,85,False
2018-08-26,39,False
2018-09-02,79,False
2018-09-09,0,False
2018-09-16,76,False
2018-09-23,39,False
2018-09-30,39,False
2018-10-07,39,False
2018-10-14,40,False
2018-10-21,79,False
2018-10-28,39,False
2018-11-04,37,False
2018-11-11,50,False
2018-11-18,37,False
2018-11-25,36,False
2018-12-02,37,False
2018-12-09,38,False
2018-12-16,58,False
2018-12-23,41,False
2018-12-30,100,False
2019-01-06,50,False
2019-01-13,55,False
2019-01-20,47,False
2019-01-27,35,False
2019-02-03,37,False
2019-02-10,39,False
2019-02-17,98,False
2019-02-24,37,False
2019-03-03,72,False
2019-03-10,86,False
2019-03-17,38,False
2019-03-24,76,False
2019-03-31,38,False
2019-04-07,79,False
2019-04-14,81,False
2019-04-21,56,False
2019-04-28,36,False
2019-05-05,71,False
2019-05-12,37,False
2019-05-19,37,False
2019-05-26,73,False
2019-06-02,34,False
2019-06-09,0,False
2019-06-16,56,False
2019-06-23,56,False
2019-06-30,0,False
2019-07-07,39,False
2019-07-14,99,False
2019-07-21,82,False
2019-07-28,41,False
2019-08-04,42,False
2019-08-11,40,False
2019-08-18,41,False
2019-08-25,38,False
2019-09-01,36,False
2019-09-08,59,False
2019-09-15,90,False
2019-09-22,33,False
2019-09-29,0,False
2019-10-06,34,False
2019-10-13,45,False
2019-10-20,34,False
2019-10-27,33,False
2019-11-03,66,False
2019-11-10,43,False
2019-11-17,0,False
2019-11-24,31,False
2019-12-01,32,False
2019-12-08,64,False
2019-12-15,0,False
2019-12-22,53,False
2019-12-29,69,False
2020-01-05,63,False
2020-01-12,31,False
2020-01-19,48,False
2020-01-26,31,False
2020-02-02,94,False
2020-02-09,63,False
2020-02-16,32,False
2020-02-23,64,False
2020-03-01,71,False
2020-03-08,51,False
2020-03-15,27,False
2020-03-22,53,False
2020-03-29,35,False
2020-04-05,27,False
2020-04-12,27,False
2020-04-19,63,False
2020-04-26,25,False
2020-05-03,25,False
2020-05-10,40,False
2020-05-17,29,False
2020-05-24,47,False
2020-05-31,68,False
2020-06-07,69,False
2020-06-14,76,False
2020-06-21,0,True
