date,Fassadenplatten,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,44,False
2018-02-04,30,False
2018-02-11,30,False
2018-02-18,60,False
2018-02-25,0,False
2018-03-04,30,False
2018-03-11,30,False
2018-03-18,31,False
2018-03-25,33,False
2018-04-01,0,False
2018-04-08,32,False
2018-04-15,0,False
2018-04-22,32,False
2018-04-29,33,False
2018-05-06,0,False
2018-05-13,62,False
2018-05-20,32,False
2018-05-27,0,False
2018-06-03,32,False
2018-06-10,31,False
2018-06-17,64,False
2018-06-24,66,False
2018-07-01,33,False
2018-07-08,0,False
2018-07-15,100,False
2018-07-22,100,False
2018-07-29,33,False
2018-08-05,32,False
2018-08-12,32,False
2018-08-19,31,False
2018-08-26,31,False
2018-09-02,30,False
2018-09-09,0,False
2018-09-16,62,False
2018-09-23,31,False
2018-09-30,33,False
2018-10-07,32,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,30,False
2018-11-04,29,False
2018-11-11,30,False
2018-11-18,0,False
2018-11-25,64,False
2018-12-02,32,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,47,False
2019-01-13,30,False
2019-01-20,30,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,30,False
2019-02-17,0,False
2019-02-24,31,False
2019-03-03,30,False
2019-03-10,0,False
2019-03-17,31,False
2019-03-24,30,False
2019-03-31,30,False
2019-04-07,30,False
2019-04-14,33,False
2019-04-21,0,False
2019-04-28,31,False
2019-05-05,29,False
2019-05-12,30,False
2019-05-19,44,False
2019-05-26,63,False
2019-06-02,30,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,64,False
2019-07-21,33,False
2019-07-28,66,False
2019-08-04,31,False
2019-08-11,30,False
2019-08-18,30,False
2019-08-25,60,False
2019-09-01,30,False
2019-09-08,30,False
2019-09-15,0,False
2019-09-22,60,False
2019-09-29,32,False
2019-10-06,30,False
2019-10-13,28,False
2019-10-20,28,False
2019-10-27,57,False
2019-11-03,0,False
2019-11-10,55,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,0,False
2019-12-22,34,False
2019-12-29,0,False
2020-01-05,57,False
2020-01-12,0,False
2020-01-19,28,False
2020-01-26,0,False
2020-02-02,53,False
2020-02-09,26,False
2020-02-16,41,False
2020-02-23,0,False
2020-03-01,26,False
2020-03-08,25,False
2020-03-15,25,False
2020-03-22,25,False
2020-03-29,25,False
2020-04-05,0,False
2020-04-12,26,False
2020-04-19,38,False
2020-04-26,50,False
2020-05-03,0,False
2020-05-10,25,False
